,word,frequency,length
當dāng,當dāng,21,4,
發生fāshēng,發生fāshēng,21,7,
影響yǐngxiǎng,影響yǐngxiǎng,21,9,
由yóu,由yóu,21,3,
內nèi,內nèi,20,3,
獲得huòdé,獲得huòdé,20,5,
至zhì,至zhì,20,3,
很hěn,很hěn,20,3,
要yào,要yào,20,3,
系統xìtǒng,系統xìtǒng,20,6,
成chéng,成chéng,20,5,
過guò,過guò,20,3,
作zuò,作zuò,20,3,
包括bāokuò,包括bāokuò,19,6,
一直yīzhí,一直yīzhí,19,5,
因yīn,因yīn,19,3,
元yuán,元yuán,19,4,
方面fāngmiàn,方面fāngmiàn,18,8,
其中qízhōng,其中qízhōng,18,7,
成功chénggōng,成功chénggōng,18,9,
同時tóngshí,同時tóngshí,18,7,
如果rúguǒ,如果rúguǒ,18,5,
已yǐ,已yǐ,18,2,
最後zuìhòu,最後zuìhòu,18,6,
進行jìnxíng,進行jìnxíng,18,7,
歷史lìshǐ,歷史lìshǐ,17,5,
通過tōngguò,通過tōngguò,17,7,
年代niándài,年代niándài,17,7,
決定juédìng,決定juédìng,17,7,
可kě,可kě,17,2,
及jí,及jí,17,2,
正zhèng,正zhèng,17,5,
使shǐ,使shǐ,17,3,
建立jiànlì,建立jiànlì,17,6,
接受jiēshòu,接受jiēshòu,17,7,
中國zhōngguó,中國zhōngguó,17,8,
所有suǒyǒu,所有suǒyǒu,16,6,
三sān,三sān,16,3,
主要zhǔyào,主要zhǔyào,16,6,
令lìng,令lìng,16,4,
更gèng,更gèng,16,4,
戰爭zhànzhēng,戰爭zhànzhēng,16,9,
總統zǒngtǒng,總統zǒngtǒng,16,8,
公元gōngyuán,公元gōngyuán,16,8,
需要xūyào,需要xūyào,16,5,
能夠nénggòu,能夠nénggòu,16,7,
許多xǔduō,許多xǔduō,16,5,
稱chēng,稱chēng,15,5,
表示biǎoshì,表示biǎoshì,15,7,
現在xiànzài,現在xiànzài,15,7,
區域qūyù,區域qūyù,15,4,
或huò,或huò,15,3,
之前zhīqián,之前zhīqián,15,7,
軍隊jūnduì,軍隊jūnduì,15,6,
導致dǎozhì,導致dǎozhì,15,6,
城市chéngshì,城市chéngshì,15,8,
提供tígōng,提供tígōng,15,6,
新xīn,新xīn,14,3,
人們rénmen,人們rénmen,14,6,
希望xīwàng,希望xīwàng,14,6,
德國déguó,德國déguó,14,5,
發現fāxiàn,發現fāxiàn,14,6,
當時dāngshí,當時dāngshí,14,7,
期間qījiān,期間qījiān,14,6,
歐ōu,歐ōu,14,2,
法國fǎguó,法國fǎguó,14,5,
由於yóuyú,由於yóuyú,14,5,
如rú,如rú,14,2,
給gěi,給gěi,14,3,
使用shǐyòng,使用shǐyòng,14,7,
不同bùtóng,不同bùtóng,14,6,
一樣yīyàng,一樣yīyàng,14,6,
一些yīxiē,一些yīxiē,14,5,
六liù,六liù,14,3,
非常fēicháng,非常fēicháng,14,8,
不是bùshì,不是bùshì,14,5,
研究yánjiū,研究yánjiū,14,6,
時間shíjiān,時間shíjiān,13,7,
發展fāzhǎn,發展fāzhǎn,13,6,
去qù,去qù,13,2,
出現chūxiàn,出現chūxiàn,13,7,
部分bùfēn,部分bùfēn,13,5,
比bǐ,比bǐ,13,2,
你nǐ,你nǐ,13,2,
第二dìèr,第二dìèr,13,4,
經濟jīngjì,經濟jīngjì,13,6,
重要zhòngyào,重要zhòngyào,13,8,
調查diàochá,調查diàochá,13,7,
特別tèbié,特別tèbié,13,5,
只zhǐ,只zhǐ,13,3,
歐洲ōuzhōu,歐洲ōuzhōu,13,6,
約yuē,約yuē,12,3,
根據gēnjù,根據gēnjù,12,5,
四sì,四sì,12,2,
它們tāmen,它們tāmen,12,5,
希臘xīlà,希臘xīlà,12,4,
事件shìjiàn,事件shìjiàn,12,7,
處chù,處chù,12,3,
情況qíngkuàng,情況qíngkuàng,12,9,
超過chāoguò,超過chāoguò,12,7,
只有zhǐyǒu,只有zhǐyǒu,12,6,
政治zhèngzhì,政治zhèngzhì,12,8,
地方de dìfāng,地方de dìfāng,12,9,
方法fāngfǎ,方法fāngfǎ,12,6,
十shí,十shí,12,3,
項xiàng,項xiàng,12,5,
技術jìshù,技術jìshù,12,5,
問題wèntí,問題wèntí,12,5,
獨立dúlì,獨立dúlì,12,4,
得dé,得dé,12,2,
代表dàibiǎo,代表dàibiǎo,11,7,
什麼shénme,什麼shénme,11,6,
座zuò,座zuò,11,3,
看到kàndào,看到kàndào,11,6,
宣布xuānbù,宣布xuānbù,11,6,
另lìng,另lìng,11,4,
則zé,則zé,11,2,
天tiān,天tiān,11,4,
必須bìxū,必須bìxū,11,4,
未wèi,未wèi,11,3,
曾céng,曾céng,11,4,
人口rénkǒu,人口rénkǒu,11,6,
數據shùjù,數據shùjù,11,5,
一起yīqǐ,一起yīqǐ,11,4,
關於guānyú,關於guānyú,11,6,
裡lǐ,裡lǐ,11,2,
要求yàoqiú,要求yàoqiú,11,6,
事shì,事shì,11,3,
看kàn,看kàn,11,3,
做zuò,做zuò,11,3,
像xiàng,像xiàng,10,5,
計劃jìhuà,計劃jìhuà,10,5,
家jiā,家jiā,10,3,
想xiǎng,想xiǎng,10,5,
才cái,才cái,10,3,
活動huódòng,活動huódòng,10,7,
起qǐ,起qǐ,10,2,
特朗普tèlǎngpǔ,特朗普tèlǎngpǔ,10,8,
提出tíchū,提出tíchū,10,5,
而且érqiě,而且érqiě,10,5,
市場shìchǎng,市場shìchǎng,10,8,
形成xíngchéng,形成xíngchéng,10,9,
歲suì,歲suì,10,3,
全球quánqiú,全球quánqiú,10,7,
隨後suíhòu,隨後suíhòu,10,6,
進入jìnrù,進入jìnrù,10,5,
投資tóuzī,投資tóuzī,10,5,
水平shuǐpíng,水平shuǐpíng,10,8,
南nán,南nán,10,3,
擁有yōngyǒu,擁有yōngyǒu,10,7,
發布fābù,發布fābù,10,4,
系列xìliè,系列xìliè,10,5,
生活shēnghuó,生活shēnghuó,10,8,
存在cúnzài,存在cúnzài,10,6,
所以suǒyǐ,所以suǒyǐ,10,5,
最高zuìgāo,最高zuìgāo,10,6,
幫助bāngzhù,幫助bāngzhù,10,7,
條約tiáoyuē,條約tiáoyuē,10,7,
協議xiéyì,協議xiéyì,9,5,
屬shǔ,屬shǔ,9,3,
為了wèile,為了wèile,9,5,
天皇tiānhuáng,天皇tiānhuáng,9,9,
說道shuōdào,說道shuōdào,9,7,
保護bǎohù,保護bǎohù,9,5,
關係guānxì,關係guānxì,9,6,
大dà,大dà,9,2,
下來xiàlái,下來xiàlái,9,6,
行動xíngdòng,行動xíngdòng,9,8,
地中海de dìzhōnghǎi,地中海de dìzhōnghǎi,9,13,
國際guójì,國際guójì,9,5,
帝國dìguó,帝國dìguó,9,5,
週zhōu,週zhōu,9,4,
選舉xuǎnjǔ,選舉xuǎnjǔ,9,6,
羅馬luómǎ,羅馬luómǎ,9,5,
合作hézuò,合作hézuò,9,5,
還是háishì,還是háishì,9,6,
出chū,出chū,9,3,
故事gùshì,故事gùshì,9,5,
社會shèhuì,社會shèhuì,9,6,
信息xìnxī,信息xìnxī,9,5,
通常tōngcháng,通常tōngcháng,9,9,
投票tóupiào,投票tóupiào,9,7,
原因yuányīn,原因yuányīn,9,7,
七qī,七qī,9,2,
美měi,美měi,9,3,
明顯míngxiǎn,明顯míngxiǎn,9,8,
比賽bǐsài,比賽bǐsài,9,5,
就是jiùshì,就是jiùshì,9,6,
任何rènhé,任何rènhé,9,5,
都是dōu dūshì,都是dōu dūshì,9,9,
幾乎jǐhū,幾乎jǐhū,9,4,
目前mùqián,目前mùqián,9,6,
北部běibù,北部běibù,9,5,
至少zhìshǎo,至少zhìshǎo,9,7,
例如lìrú,例如lìrú,9,4,
管理guǎnlǐ,管理guǎnlǐ,9,6,
顯示xiǎnshì,顯示xiǎnshì,9,7,
土地tǔde dì,土地tǔde dì,8,7,
幾jǐ,幾jǐ,8,2,
銀行yínxíng,銀行yínxíng,8,7,
是否shìfǒu,是否shìfǒu,8,6,
共同gòngtóng,共同gòngtóng,8,8,
繼續jìxù,繼續jìxù,8,4,
美洲měizhōu,美洲měizhōu,8,7,
時代shídài,時代shídài,8,6,
聯邦liánbāng,聯邦liánbāng,8,8,
學習xuéxí,學習xuéxí,8,5,
大陸dàlù,大陸dàlù,8,4,
行為xíngwèi,行為xíngwèi,8,7,
改變gǎibiàn,改變gǎibiàn,8,7,
妻子qīzi,妻子qīzi,8,4,
平均píngjūn,平均píngjūn,8,7,
無法wúfǎ,無法wúfǎ,8,4,
數shù,數shù,8,3,
價格jiàgé,價格jiàgé,8,5,
飛機fēijī,飛機fēijī,8,5,
再zài,再zài,8,3,
具有jùyǒu,具有jùyǒu,8,5,
那些nàxiē,那些nàxiē,8,5,
持續chíxù,持續chíxù,8,5,
組成zǔchéng,組成zǔchéng,8,7,
實際shíjì,實際shíjì,8,5,
這樣zhèyàng,這樣zhèyàng,8,7,
整個zhěnggè,整個zhěnggè,8,7,
資源zīyuán,資源zīyuán,8,6,
澳大利亞àodàlìyà,澳大利亞àodàlìyà,8,8,
控制kòngzhì,控制kòngzhì,8,7,
離開líkāi,離開líkāi,8,5,
應該yīnggāi,應該yīnggāi,8,7,
這裡zhèlǐ,這裡zhèlǐ,8,5,
隨suí,隨suí,8,3,
五wǔ,五wǔ,8,2,
統治tǒngzhì,統治tǒngzhì,8,7,
挑戰tiāozhàn,挑戰tiāozhàn,8,8,
有關yǒuguān,有關yǒuguān,8,7,
意大利yìdàlì,意大利yìdàlì,8,6,
以前yǐqián,以前yǐqián,8,6,
寫xiě,寫xiě,8,3,
最終zuìzhōng,最終zuìzhōng,8,8,
目標mùbiāo,目標mùbiāo,8,6,
自然zìrán,自然zìrán,8,5,
增長zēngzhǎng,增長zēngzhǎng,8,9,
自由zìyóu,自由zìyóu,8,5,
解釋jiěshì,解釋jiěshì,8,6,
告訴gàosù,告訴gàosù,8,5,
大量dàliàng,大量dàliàng,8,7,
最大zuìdà,最大zuìdà,8,5,
直接zhíjiē,直接zhíjiē,8,6,
甚至shénzhì,甚至shénzhì,8,7,
大部分dàbùfēn,大部分dàbùfēn,8,7,
又yòu,又yòu,8,3,
擔任dānrèn,擔任dānrèn,8,6,
時候shíhòu,時候shíhòu,8,6,
越來越yuèláiyuè,越來越yuèláiyuè,8,9,
似乎shìhū,似乎shìhū,7,5,
場chǎng,場chǎng,7,5,
很大hěndà,很大hěndà,7,5,
起來qǐlái,起來qǐlái,7,5,
西班牙xībānyá,西班牙xībānyá,7,7,
不會bùhuì,不會bùhuì,7,5,
手機shǒujī,手機shǒujī,7,6,
增加zēngjiā,增加zēngjiā,7,7,
第三dìsān,第三dìsān,7,5,
山脈shānmài,山脈shānmài,7,7,
香港xiānggǎng,香港xiānggǎng,7,9,
以來yǐlái,以來yǐlái,7,5,
卻què,卻què,7,3,
進jìn,進jìn,7,3,
航空hángkōng,航空hángkōng,7,8,
責任zérèn,責任zérèn,7,5,
產生chǎnshēng,產生chǎnshēng,7,9,
帶來dàilái,帶來dàilái,7,6,
埃及āijí,埃及āijí,7,4,
共和黨gònghédǎng,共和黨gònghédǎng,7,10,
學校xuéxiào,學校xuéxiào,7,7,
每個měigè,每個měigè,7,5,
死sǐ,死sǐ,7,2,
馬其頓mǎqídùn,馬其頓mǎqídùn,7,7,
衝突chōngtū,衝突chōngtū,7,7,
那裡nàlǐ,那裡nàlǐ,7,4,
人員rényuán,人員rényuán,7,7,
出演chūyǎn,出演chūyǎn,7,6,
民族mínzú,民族mínzú,7,5,
宗教zōngjiào,宗教zōngjiào,7,8,
非fēi,非fēi,7,3,
張zhāng,張zhāng,7,5,
導演dǎoyǎn,導演dǎoyǎn,7,6,
汽車qìchē,汽車qìchē,7,5,
名字míngzì,名字míngzì,7,6,
歌曲gēqū,歌曲gēqū,7,4,
安全ānquán,安全ānquán,7,6,
同樣tóngyàng,同樣tóngyàng,7,8,
知道zhīdào,知道zhīdào,7,6,
現代xiàndài,現代xiàndài,7,7,
建議jiànyì,建議jiànyì,7,6,
應用yīngyòng,應用yīngyòng,7,8,
不斷bùduàn,不斷bùduàn,7,6,
附近fùjìn,附近fùjìn,7,5,
本běn,本běn,7,3,
孩子háizi,孩子háizi,7,5,
出生chūshēng,出生chūshēng,7,8,
跟gēn,跟gēn,7,3,
音樂yīnlè,音樂yīnlè,7,5,
完全wánquán,完全wánquán,7,7,
學生xuéshēng,學生xuéshēng,7,8,
程度chéngdù,程度chéngdù,7,7,
創作chuàngzuò,創作chuàngzuò,7,9,
基礎jīchǔ,基礎jīchǔ,7,5,
革命gémìng,革命gémìng,7,6,
均jūn,均jūn,7,3,
且qiě,且qiě,7,3,
回到huídào,回到huídào,7,6,
時期shíqī,時期shíqī,7,5,
法律fǎlǜ,法律fǎlǜ,7,4,
不能bùnéng,不能bùnéng,7,6,
朋友péngyǒu,朋友péngyǒu,6,7,
並且bìngqiě,並且bìngqiě,6,7,
件jiàn,件jiàn,6,4,
邊境biānjìng,邊境biānjìng,6,8,
降低jiàngdī,降低jiàngdī,6,7,
加拿大jiānádà,加拿大jiānádà,6,7,
感到gǎndào,感到gǎndào,6,6,
大學dàxué,大學dàxué,6,5,
主義zhǔyì,主義zhǔyì,6,5,
教育jiàoyù,教育jiàoyù,6,6,
組織zǔzhī,組織zǔzhī,6,5,
的話dehuà,的話dehuà,6,5,
建築jiànzhú,建築jiànzhú,6,7,
點diǎn,點diǎn,6,4,
賬戶zhànghù,賬戶zhànghù,6,7,
相關xiāngguān,相關xiāngguān,6,9,
經常jīngcháng,經常jīngcháng,6,9,
北京běijīng,北京běijīng,6,7,
作品zuòpǐn,作品zuòpǐn,6,6,
道dào,道dào,6,3,
試圖shìtú,試圖shìtú,6,5,
英yīng,英yīng,6,4,
國王guówáng,國王guówáng,6,7,
設計shèjì,設計shèjì,6,5,
等děng,等děng,6,4,
鎊bàng,鎊bàng,6,4,
報告bàogào,報告bàogào,6,6,
十分shífēn,十分shífēn,6,6,
西班牙語xībānyáyǔ,西班牙語xībānyáyǔ,6,9,
如此rúcǐ,如此rúcǐ,6,4,
沒méi,沒méi,6,3,
警方jǐngfāng,警方jǐngfāng,6,8,
適用shìyòng,適用shìyòng,6,7,
或者huòzhě,或者huòzhě,6,6,
接jiē,接jiē,6,3,
貿易màoyì,貿易màoyì,6,5,
預測yùcè,預測yùcè,6,4,
住zhù,住zhù,6,3,
更多gèngduō,更多gèngduō,6,7,
拒絕jùjué,拒絕jùjué,6,5,
參與cānyǔ,參與cānyǔ,6,5,
放棄fàngqì,放棄fàngqì,6,6,
佔據zhànjù,佔據zhànjù,6,6,
南部nánbù,南部nánbù,6,5,
日本rìběn,日本rìběn,6,5,
再次zàicì,再次zàicì,6,5,
受shòu,受shòu,6,4,
高gāo,高gāo,6,3,
結束jiéshù,結束jiéshù,6,6,
環境huánjìng,環境huánjìng,6,8,
支持zhīchí,支持zhīchí,6,6,
傳統chuántǒng,傳統chuántǒng,6,9,
巴黎bālí,巴黎bālí,6,4,
破產pòchǎn,破產pòchǎn,6,6,
選擇xuǎnzé,選擇xuǎnzé,6,6,
份fèn,份fèn,6,3,
最近zuìjìn,最近zuìjìn,6,6,
變化biànhuà,變化biànhuà,6,7,
氣候qìhòu,氣候qìhòu,6,5,
變biàn,變biàn,6,4,
部隊bùduì,部隊bùduì,6,5,
全quán,全quán,6,4,
早zǎo,早zǎo,6,3,
另外lìngwài,另外lìngwài,6,7,
全國quánguó,全國quánguó,6,7,
變得biàndé,變得biàndé,5,6,
北běi,北běi,5,3,
書shū,書shū,5,3,
扮演bànyǎn,扮演bànyǎn,5,6,
表達biǎodá,表達biǎodá,5,6,
嗎ma,嗎ma,5,2,
墨西哥mòxīgē,墨西哥mòxīgē,5,6,
冠軍guānjūn,冠軍guānjūn,5,7,
描述miáoshù,描述miáoshù,5,7,
元素yuánsù,元素yuánsù,5,6,
俄羅斯éluósī,俄羅斯éluósī,5,6,
健康jiànkāng,健康jiànkāng,5,8,
完成wánchéng,完成wánchéng,5,8,
聯盟liánméng,聯盟liánméng,5,8,
之中zhīzhōng,之中zhīzhōng,5,8,
力量lìliàng,力量lìliàng,5,7,
意義yìyì,意義yìyì,5,4,
受到shòudào,受到shòudào,5,7,
勝利shènglì,勝利shènglì,5,7,
集jí,集jí,5,2,
女nǚ,女nǚ,5,2,
強調qiángdiào,強調qiángdiào,5,9,
能力nénglì,能力nénglì,5,6,
人士rénshì,人士rénshì,5,6,
當然dāngrán,當然dāngrán,5,7,
誰shuí shéi,誰shuí shéi,5,9,
取得qǔdé,取得qǔdé,5,4,
會議huìyì,會議huìyì,5,5,
參加cānjiā,參加cānjiā,5,6,
專輯zhuānjí,專輯zhuānjí,5,7,
藝術家yìshùjiā,藝術家yìshùjiā,5,8,
島嶼dǎoyǔ,島嶼dǎoyǔ,5,5,
河流héliú,河流héliú,5,5,
沙漠shāmò,沙漠shāmò,5,5,
公眾gōngzhòng,公眾gōngzhòng,5,9,
腫瘤zhǒngliú,腫瘤zhǒngliú,5,8,
減少jiǎnshǎo,減少jiǎnshǎo,5,8,
理論lǐlùn,理論lǐlùn,5,5,
危機wēijī,危機wēijī,5,5,
文明wénmíng,文明wénmíng,5,7,
房地產fángde dìchǎn,房地產fángde dìchǎn,5,13,
負責fùzé,負責fùzé,5,4,
服務fúwù,服務fúwù,5,4,
那麼nàme,那麼nàme,5,4,
利用lìyòng,利用lìyòng,5,6,
債券zhàiquàn,債券zhàiquàn,5,8,
費用fèiyòng,費用fèiyòng,5,7,
修道院xiūdàoyuàn,修道院xiūdàoyuàn,5,10,
聖shèng,聖shèng,5,5,
不得bùdé,不得bùdé,5,4,
大眾dàzhòng,大眾dàzhòng,5,7,
討論tǎolùn,討論tǎolùn,5,6,
地面de dìmiàn,地面de dìmiàn,5,9,
工具gōngjù,工具gōngjù,5,6,
承擔chéngdān,承擔chéngdān,5,8,
阿爾巴尼亞āěrbāníyà,阿爾巴尼亞āěrbāníyà,5,9,
加勒比海jiālēibǐhǎi,加勒比海jiālēibǐhǎi,5,11,
俄國éguó,俄國éguó,5,4,
每měi,每měi,5,3,
出版chūbǎn,出版chūbǎn,5,6,
權利quánlì,權利quánlì,5,6,
板塊bǎnkuài,板塊bǎnkuài,5,7,
大約dàyuē,大約dàyuē,5,5,
非洲fēizhōu,非洲fēizhōu,5,7,
間jiān,間jiān,5,4,
丶zhǔ,丶zhǔ,5,3,
文化wénhuà,文化wénhuà,5,6,
演出yǎnchū,演出yǎnchū,5,6,
戲劇xìjù,戲劇xìjù,5,4,
新聞xīnwén,新聞xīnwén,5,6,
東西dōngxī,東西dōngxī,5,6,
羅娜luónà,羅娜luónà,5,5,
釙pò,釙pò,5,2,
人類rénlèi,人類rénlèi,5,6,
稱呼chēnghū,稱呼chēnghū,5,7,
戰役zhànyì,戰役zhànyì,5,6,
語言yǔyán,語言yǔyán,5,5,
部bù,部bù,5,2,
總zǒng,總zǒng,5,4,
一世yīshì,一世yīshì,5,5,
訓練xùnliàn,訓練xùnliàn,5,7,
找到zhǎodào,找到zhǎodào,5,7,
年輕niánqīng,年輕niánqīng,5,8,
觀眾guānzhòng,觀眾guānzhòng,5,9,
喜歡xǐhuān,喜歡xǐhuān,5,6,
女士nǚshì,女士nǚshì,5,5,
清朝qīngcháo,清朝qīngcháo,5,8,
家庭jiātíng,家庭jiātíng,5,7,
建jiàn,建jiàn,5,4,
仍réng,仍réng,5,4,
公園gōngyuán,公園gōngyuán,5,8,
馬克mǎkè,馬克mǎkè,5,4,
好hǎo,好hǎo,5,3,
照片zhàopiàn,照片zhàopiàn,5,8,
準備zhǔnbèi,準備zhǔnbèi,5,7,
雖然suīrán,雖然suīrán,5,6,
地點de dìdiǎn,地點de dìdiǎn,5,9,
候選人hòuxuǎnrén,候選人hòuxuǎnrén,5,10,
和平hépíng,和平hépíng,5,6,
智能zhìnéng,智能zhìnéng,5,7,
過去guòqù,過去guòqù,5,5,
簽訂qiāndìng,簽訂qiāndìng,5,8,
分析fēnxī,分析fēnxī,5,5,
證明zhèngmíng,證明zhèngmíng,5,9,
先生xiānshēng,先生xiānshēng,5,9,
對於duìyú,對於duìyú,5,5,
缺少quēshǎo,缺少quēshǎo,5,7,
展示zhǎnshì,展示zhǎnshì,5,7,
值得zhídé,值得zhídé,5,5,
保持bǎochí,保持bǎochí,5,6,
商業shāngyè,商業shāngyè,5,7,
權力quánlì,權力quánlì,5,6,
協會xiéhuì,協會xiéhuì,5,6,
分別fēnbié,分別fēnbié,5,6,
表明biǎomíng,表明biǎomíng,5,8,
未來wèilái,未來wèilái,5,6,
多數duōshù,多數duōshù,5,6,
媒體méitǐ,媒體méitǐ,5,5,
初chū,初chū,5,3,
項目xiàngmù,項目xiàngmù,4,7,
內容nèiróng,內容nèiróng,4,7,
廣告guǎnggào,廣告guǎnggào,4,8,
兒童értóng,兒童értóng,4,6,
贏得yíngdé,贏得yíngdé,4,6,
怎麼zěnme,怎麼zěnme,4,5,
電視diànshì,電視diànshì,4,7,
唐納德tángnàdé,唐納德tángnàdé,4,8,
部長bùzhǎng,部長bùzhǎng,4,7,
更加gèngjiā,更加gèngjiā,4,7,
電子diànzi,電子diànzi,4,6,
奧斯曼àosīmàn,奧斯曼àosīmàn,4,7,
殖民zhímín,殖民zhímín,4,6,
企業qǐyè,企業qǐyè,4,4,
未能wèinéng,未能wèinéng,4,7,
中心zhōngxīn,中心zhōngxīn,4,8,
者zhě,者zhě,4,3,
儘管jǐnguǎn,儘管jǐnguǎn,4,7,
運河yùnhé,運河yùnhé,4,5,
穿過chuānguò,穿過chuānguò,4,8,
競爭jìngzhēng,競爭jìngzhēng,4,9,
倫敦lúndūn,倫敦lúndūn,4,6,
顏色yánsè,顏色yánsè,4,5,
敵人dírén,敵人dírén,4,5,
容易róngyì,容易róngyì,4,6,
聯繫liánxì,聯繫liánxì,4,6,
科學kēxué,科學kēxué,4,5,
警察jǐngchá,警察jǐngchá,4,7,
上漲shàngzhǎng,上漲shàngzhǎng,4,10,
冬季dōngjì,冬季dōngjì,4,6,
半島bàndǎo,半島bàndǎo,4,6,
此次cǐcì,此次cǐcì,4,4,
對象duìxiàng,對象duìxiàng,4,8,
發言人fāyánrén,發言人fāyánrén,4,8,
人數rénshù,人數rénshù,4,6,
軍事jūnshì,軍事jūnshì,4,6,
日期rìqī,日期rìqī,4,4,
打dǎ,打dǎ,4,2,
據jù,據jù,4,2,
來到láidào,來到láidào,4,6,
夏季xiàjì,夏季xiàjì,4,5,
補充bǔchōng,補充bǔchōng,4,7,
尋找xúnzhǎo,尋找xúnzhǎo,4,7,
米mǐ,米mǐ,4,2,
農曆nónglì,農曆nónglì,4,6,
東dōng,東dōng,4,4,
生命shēngmìng,生命shēngmìng,4,9,
星期xīngqī,星期xīngqī,4,6,
後者hòuzhě,後者hòuzhě,4,6,
反對fǎnduì,反對fǎnduì,4,6,
私人sīrén,私人sīrén,4,5,
記錄jìlù,記錄jìlù,4,4,
生shēng,生shēng,4,5,
也許yěxǔ,也許yěxǔ,4,4,
蒙古ménggǔ,蒙古ménggǔ,4,6,
土耳其tǔěrqí,土耳其tǔěrqí,4,6,
喀麥隆kāmàilóng,喀麥隆kāmàilóng,4,9,
封fēng,封fēng,4,4,
比如bǐrú,比如bǐrú,4,4,
關注guānzhù,關注guānzhù,4,7,
女人nǚrén,女人nǚrén,4,5,
積極jījí,積極jījí,4,4,
處理chùlǐ,處理chùlǐ,4,5,
機構jīgòu,機構jīgòu,4,5,
標記biāojì,標記biāojì,4,6,
外wài,外wài,4,3,
教堂jiàotáng,教堂jiàotáng,4,8,
如何rúhé,如何rúhé,4,4,
丹內維爾克dānnèiwéiěrkè,丹內維爾克dānnèiwéiěrkè,4,13,
面對miànduì,面對miànduì,4,7,
破壞pòhuài,破壞pòhuài,4,6,
棲息地qīxīde dì,棲息地qīxīde dì,4,9,
根本gēnběn,根本gēnběn,4,6,
方式fāngshì,方式fāngshì,4,7,
承認chéngrèn,承認chéngrèn,4,8,
歐洲人ōuzhōurén,歐洲人ōuzhōurén,4,9,
來源láiyuán,來源láiyuán,4,7,
保證bǎozhèng,保證bǎozhèng,4,8,
出來chūlái,出來chūlái,4,6,
員工yuángōng,員工yuángōng,4,8,
僅jǐn,僅jǐn,4,3,
時任shírèn,時任shírèn,4,6,
您nín,您nín,4,3,
產品chǎnpǐn,產品chǎnpǐn,4,7,
緩解huǎnjiě,緩解huǎnjiě,4,7,
作用zuòyòng,作用zuòyòng,4,7,
委員會wěiyuánhuì,委員會wěiyuánhuì,4,10,
投資人tóuzīrén,投資人tóuzīrén,4,8,
報導bàodǎo,報導bàodǎo,4,6,
用戶yònghù,用戶yònghù,4,6,
