,word,frequency,length,romanized_form
ローマ,ローマ,14,5,Rooma
調査,調査,14,6,Tyousa
ヨーロッパ,ヨーロッパ,14,8,Yooroppa
一部,一部,14,5,Itibu
場合,場合,14,4,Baai
自分,自分,14,5,Zibun
一方,一方,13,5,Ippou
現在,現在,13,6,Genzai
スペイン,スペイン,13,6,Supein
そして,そして,13,6,Sosite
警察,警察,13,7,Keisatu
そこ,そこ,13,4,Soko
経済,経済,13,6,Keizai
共和,共和,13,6,Kyouwa
時間,時間,13,5,Zikan
紀元,紀元,13,5,Kigen
始め,始め,12,6,Hazime
目的,目的,12,8,Mokuteki
すべて,すべて,12,6,Subete
所,所,12,6,Tokoro
年間,年間,12,6,Nenkan
度,度,12,2,Do
保護,保護,12,4,Hogo
システム,システム,12,8,Sisutemu
行動,行動,12,6,Koudou
労働,労働,12,6,Roudou
ポンド,ポンド,12,5,Pondo
計画,計画,12,7,Keikaku
る,る,12,2,Ru
語っ,語っ,12,4,Kata
オーストラリア,オーストラリア,12,11,Oosutoraria
おけ,おけ,12,3,Oke
軍,軍,12,3,Gun
歳,歳,11,4,Tosi
様々,様々,11,8,Samazama
ロシア,ロシア,11,5,Rosia
べき,べき,11,4,Beki
戻っ,戻っ,11,4,Modo
自身,自身,11,5,Zisin
増加,増加,11,5,Zouka
ギリシャ,ギリシャ,11,7,Girisya
本,本,11,3,Hon
最高,最高,11,6,Saikou
トランプ,トランプ,11,7,Toranpu
完全,完全,11,6,Kanzen
結果,結果,11,5,Kekka
会,会,11,3,Kai
持っ,持っ,11,2,Mo
学校,学校,11,6,Gakkou
ん,ん,11,1,N
力,力,11,6,Tikara
地区,地区,11,4,Tiku
際,際,11,3,Sai
設立,設立,11,8,Seturitu
ところ,ところ,11,6,Tokoro
名前,名前,11,5,Namae
南,南,10,6,Minami
最終,最終,10,7,Saisyuu
どう,どう,10,3,Dou
政治,政治,10,5,Seizi
誰,誰,10,4,Dare
利用,利用,10,5,Riyou
系,系,10,3,Kei
法律,法律,10,7,Houritu
重要,重要,10,7,Zyuuyou
地中,地中,10,6,Tityuu
女性,女性,10,6,Zyosei
含ま,含ま,10,6,Hukuma
き,き,10,2,Ki
事件,事件,10,5,Ziken
ほど,ほど,10,4,Hodo
でし,でし,10,4,Desi
市,市,10,2,Si
気候,気候,10,5,Kikou
期間,期間,10,5,Kikan
ドル,ドル,10,4,Doru
建設,建設,10,7,Kensetu
ませ,ませ,10,4,Mase
院,院,10,2,In
同じ,同じ,10,5,Onazi
最近,最近,9,6,Saikin
独立,独立,9,8,Dokuritu
とっ,とっ,9,2,To
点,点,9,3,Ten
作品,作品,9,7,Sakuhin
男性,男性,9,6,Dansei
なけれ,なけれ,9,6,Nakere
頃,頃,9,4,Koro
島,島,9,3,Tou
ユーロ,ユーロ,9,5,Yuuro
技術,技術,9,7,Gizyutu
ながら,ながら,9,6,Nagara
場,場,9,2,Ba
同,同,9,3,Dou
全て,全て,9,6,Subete
下,下,9,2,Ka
最後,最後,9,5,Saigo
植民,植民,9,8,Syokumin
特に,特に,9,6,Tokuni
方法,方法,9,6,Houhou
億,億,9,3,Oku
成功,成功,9,6,Seikou
ドイツ,ドイツ,9,5,Doitu
提供,提供,9,7,Teikyou
自由,自由,9,5,Ziyuu
宣言,宣言,9,6,Sengen
報告,報告,9,7,Houkoku
帝国,帝国,9,7,Teikoku
多数,多数,9,5,Tasuu
初めて,初めて,9,8,Hazimete
得,得,9,1,E
しか,しか,9,4,Sika
平均,平均,9,6,Heikin
しれ,しれ,9,4,Sire
レベル,レベル,9,6,Reberu
部,部,9,2,Bu
監督,監督,9,7,Kantoku
体,体,9,6,Karada
意味,意味,8,3,Imi
勝利,勝利,8,6,Syouri
情報,情報,8,7,Zyouhou
持つ,持つ,8,4,Motu
インド,インド,8,4,Indo
機,機,8,2,Ki
地方,地方,8,5,Tihou
開始,開始,8,5,Kaisi
決定,決定,8,6,Kettei
線,線,8,3,Sen
関する,関する,8,7,Kansuru
分,分,8,3,Bun
与え,与え,8,4,Atae
られる,られる,8,6,Rareru
明らか,明らか,8,7,Akiraka
教,教,8,4,Osie
民族,民族,8,7,Minzoku
発表,発表,8,7,Happyou
小さな,小さな,8,7,Tiisana
かけ,かけ,8,4,Kake
開発,開発,8,7,Kaihatu
大陸,大陸,8,7,Tairiku
水,水,8,4,Mizu
新た,新た,8,5,Arata
人口,人口,8,6,Zinkou
教育,教育,8,7,Kyouiku
理解,理解,8,5,Rikai
実際,実際,8,6,Zissai
理由,理由,8,5,Riyuu
移行,移行,8,4,Ikou
移動,移動,8,4,Idou
貿易,貿易,8,6,Boueki
二,二,8,2,Ni
イタリア,イタリア,8,6,Itaria
データ,データ,8,5,Deeta
教会,教会,8,7,Kyoukai
人間,人間,8,6,Ningen
契約,契約,8,7,Keiyaku
裁判,裁判,7,6,Saiban
しよう,しよう,7,5,Siyou
イギリス,イギリス,7,7,Igirisu
社会,社会,7,6,Syakai
変化,変化,7,5,Henka
要求,要求,7,7,Youkyuu
協定,協定,7,7,Kyoutei
北部,北部,7,6,Hokubu
素晴らしい,素晴らしい,7,9,Subarasii
旧,旧,7,4,Kyuu
役,役,7,4,Yaku
アルバム,アルバム,7,7,Arubamu
関し,関し,7,5,Kansi
ゲーム,ゲーム,7,5,Geemu
状態,状態,7,7,Zyoutai
先住,先住,7,7,Senzyuu
条約,条約,7,8,Zyouyaku
いく,いく,7,3,Iku
写真,写真,7,6,Syasin
主義,主義,7,5,Syugi
土地,土地,7,4,Toti
地球,地球,7,6,Tikyuu
修道,修道,7,7,Syuudou
境界,境界,7,7,Kyoukai
常,常,7,4,Tune
アフリカ,アフリカ,7,7,Ahurika
公,公,7,6,Ooyake
種,種,7,3,Syu
すぐ,すぐ,7,4,Sugu
エリア,エリア,7,4,Eria
妻,妻,7,4,Tuma
適切,適切,7,8,Tekisetu
天皇,天皇,7,6,Tennou
航空,航空,7,6,Koukuu
破壊,破壊,7,5,Hakai
会社,会社,7,6,Kaisya
大学,大学,7,7,Daigaku
現代,現代,7,6,Gendai
上昇,上昇,7,8,Zyousyou
北京,北京,7,5,Pekin
市場,市場,7,6,Sizyou
カリブ,カリブ,7,6,Karibu
活動,活動,7,7,Katudou
香港,香港,7,6,Honkon
行わ,行わ,7,7,Okonawa
自然,自然,7,5,Sizen
エジプト,エジプト,7,7,Eziputo
とも,とも,7,4,Tomo
代表,代表,7,7,Daihyou
たい,たい,7,3,Tai
見る,見る,7,4,Miru
音楽,音楽,7,6,Ongaku
説明,説明,7,7,Setumei
革命,革命,7,7,Kakumei
王国,王国,7,6,Oukoku
子供,子供,7,6,Kodomo
のみ,のみ,7,4,Nomi
暮らし,暮らし,6,6,Kurasi
パリ,パリ,6,4,Pari
大半,大半,6,6,Taihan
予定,予定,6,5,Yotei
最大,最大,6,6,Saidai
公開,公開,6,6,Koukai
思わ,思わ,6,5,Omowa
かかわら,かかわら,6,8,Kakawara
再び,再び,6,8,Hutatabi
地下,地下,6,4,Tika
山脈,山脈,6,8,Sanmyaku
量,量,6,4,Ryou
王,王,6,2,Ou
金,金,6,4,Kane
学,学,6,4,Gaku
人生,人生,6,6,Zinsei
あろう,あろう,6,4,Arou
最新,最新,6,6,Saisin
獲得,獲得,6,8,Kakutoku
統治,統治,6,5,Touti
続く,続く,6,6,Tuzuku
使う,使う,6,5,Tukau
科学,科学,6,6,Kagaku
既に,既に,6,6,Sudeni
長,長,6,4,Tyou
理論,理論,6,5,Riron
制限,制限,6,6,Seigen
アルバニア,アルバニア,6,8,Arubania
位置,位置,6,3,Iti
戦い,戦い,6,7,Tatakai
文明,文明,6,6,Bunmei
場所,場所,6,5,Basyo
役割,役割,6,8,Yakuwari
鉄,鉄,6,4,Tetu
向け,向け,6,4,Muke
発電,発電,6,7,Hatuden
形成,形成,6,6,Keisei
少なく,少なく,6,8,Sukunaku
国境,国境,6,7,Kokkyou
予測,予測,6,6,Yosoku
認め,認め,6,6,Mitome
出版,出版,6,7,Syuppan
部分,部分,6,5,Bubun
方,方,6,4,Kata
率,率,6,4,Ritu
自治,自治,6,4,Ziti
お,お,6,1,O
議論,議論,6,5,Giron
一人,一人,6,6,Hitori
内,内,6,3,Uti
信じ,信じ,6,5,Sinzi
主に,主に,6,5,Omoni
発見,発見,6,6,Hakken
状況,状況,6,8,Zyoukyou
銀行,銀行,6,6,Ginkou
平和,平和,6,5,Heiwa
クリントン,クリントン,6,8,Kurinton
批判,批判,6,5,Hihan
文化,文化,6,5,Bunka
含む,含む,6,6,Hukumu
とき,とき,6,4,Toki
家族,家族,6,6,Kazoku
冬,冬,6,4,Huyu
オスマン,オスマン,6,6,Osuman
始まっ,始まっ,6,6,Hazima
期,期,6,2,Ki
物,物,6,4,Mono
当時,当時,6,5,Touzi
アジア,アジア,6,4,Azia
名,名,6,3,Mei
費用,費用,6,5,Hiyou
専門,専門,6,6,Senmon
警告,警告,6,7,Keikoku
機能,機能,6,5,Kinou
得る,得る,6,3,Uru
国際,国際,6,7,Kokusai
伝統,伝統,6,6,Dentou
官,官,6,3,Kan
まだ,まだ,6,4,Mada
示し,示し,6,6,Simesi
フォン,フォン,6,3,Hon
書,書,6,3,Syo
ポロニウム,ポロニウム,6,9,Poroniumu
連邦,連邦,6,6,Renpou
一般,一般,6,5,Ippan
責任,責任,6,7,Sekinin
資金,資金,6,5,Sikin
起き,起き,5,3,Oki
ロンドン,ロンドン,5,6,Rondon
口座,口座,5,5,Kouza
変更,変更,5,6,Henkou
マケドニア,マケドニア,5,9,Makedonia
ヶ月,ヶ月,5,6,Kagetu
評価,評価,5,6,Hyouka
許可,許可,5,5,Kyoka
車,車,5,6,Kuruma
現れ,現れ,5,7,Araware
賞,賞,5,4,Syou
ロナ,ロナ,5,4,Rona
植物,植物,5,9,Syokubutu
頻繁,頻繁,5,6,Hinpan
セット,セット,5,5,Setto
協会,協会,5,7,Kyoukai
出し,出し,5,4,Dasi
行っ,行っ,5,1,I
モデル,モデル,5,6,Moderu
受賞,受賞,5,7,Zyusyou
組織,組織,5,6,Sosiki
ケース,ケース,5,5,Keesu
やっ,やっ,5,2,Ya
直接,直接,5,9,Tyokusetu
連合,連合,5,6,Rengou
面,面,5,3,Men
ドナルド,ドナルド,5,8,Donarudo
近く,近く,5,6,Tikaku
腫瘍,腫瘍,5,6,Syuyou
メキシコ,メキシコ,5,8,Mekisiko
もたらす,もたらす,5,8,Motarasu
半ば,半ば,5,6,Nakaba
どこ,どこ,5,4,Doko
諸国,諸国,5,7,Syokoku
民主,民主,5,6,Minsyu
征服,征服,5,7,Seihuku
宗教,宗教,5,8,Syuukyou
深い,深い,5,5,Hukai
洋,洋,5,3,You
傾向,傾向,5,6,Keikou
あなた,あなた,5,5,Anata
ブラント,ブラント,5,7,Buranto
朝,朝,5,3,Asa
色,色,5,3,Iro
占め,占め,5,4,Sime
あまり,あまり,5,5,Amari
目,目,5,2,Me
キャリア,キャリア,5,6,Kyaria
継続,継続,5,7,Keizoku
続け,続け,5,6,Tuzuke
思う,思う,5,4,Omou
砂漠,砂漠,5,6,Sabaku
ここ,ここ,5,4,Koko
インターネット,インターネット,5,10,Intaanetto
軍事,軍事,5,5,Gunzi
質問,質問,5,7,Situmon
省,省,5,4,Syou
低い,低い,5,5,Hikui
支持,支持,5,4,Sizi
ツール,ツール,5,5,Tuuru
アクセス,アクセス,5,7,Akusesu
結婚,結婚,5,6,Kekkon
領土,領土,5,6,Ryoudo
ニュース,ニュース,5,6,Nyuusu
票,票,5,4,Hyou
員,員,5,2,In
そう,そう,5,3,Sou
もっと,もっと,5,5,Motto
くる,くる,5,4,Kuru
メディア,メディア,5,5,Media
中心,中心,5,7,Tyuusin
週間,週間,5,7,Syuukan
古代,古代,5,5,Kodai
事実,事実,5,6,Zizitu
権,権,5,3,Ken
代わり,代わり,5,6,Kawari
曲,曲,5,5,Kyoku
別,別,5,4,Betu
いっ,いっ,5,1,I
横断,横断,5,5,Oudan
不可欠,不可欠,5,8,Hukaketu
政権,政権,5,6,Seiken
芸術,芸術,5,8,Geizyutu
実現,実現,5,7,Zitugen
二人,二人,5,6,Hutari
清朝,清朝,5,7,Sintyou
軍隊,軍隊,5,6,Guntai
たり,たり,5,4,Tari
どの,どの,5,4,Dono
こう,こう,5,3,Kou
投稿,投稿,5,6,Toukou
安全,安全,5,5,Anzen
当たり,当たり,5,5,Atari
書い,書い,5,3,Kai
友人,友人,5,6,Yuuzin
候補,候補,5,5,Kouho
言葉,言葉,5,6,Kotoba
以来,以来,5,4,Irai
国民,国民,5,7,Kokumin
元,元,5,4,Moto
トップ,トップ,5,5,Toppu
適用,適用,5,7,Tekiyou
与える,与える,5,6,Ataeru
入学,入学,5,8,Nyuugaku
言語,言語,5,5,Gengo
トルコ,トルコ,5,6,Toruko
デンマーク,デンマーク,5,8,Denmaaku
構成,構成,5,6,Kousei
皇帝,皇帝,5,6,Koutei
動物,動物,5,7,Doubutu
国王,国王,5,6,Kokuou
破産,破産,5,5,Hasan
ディズニー,ディズニー,5,7,Dizunii
混乱,混乱,5,6,Konran
過去,過去,5,4,Kako
決め,決め,5,4,Kime
目標,目標,5,8,Mokuhyou
モラビア,モラビア,5,7,Morabia
規模,規模,5,4,Kibo
敵,敵,5,4,Teki
よれ,よれ,5,4,Yore
試合,試合,5,4,Siai
以前,以前,5,4,Izen
娘,娘,5,6,Musume
船,船,5,4,Hune
イスラム,イスラム,5,7,Isuramu
品,品,5,4,Sina
使わ,使わ,5,6,Tukawa
明確,明確,5,7,Meikaku
すでに,すでに,5,6,Sudeni
独自,独自,5,6,Dokuzi
文学,文学,5,7,Bungaku
使っ,使っ,4,4,Tuka
当局,当局,4,8,Toukyoku
通常,通常,4,7,Tuuzyou
不足,不足,4,6,Busoku
政党,政党,4,6,Seitou
古い,古い,4,5,Hurui
対立,対立,4,7,Tairitu
数多く,数多く,4,8,Kazuooku
議会,議会,4,5,Gikai
法的,法的,4,7,Houteki
発展,発展,4,6,Hatten
個人,個人,4,5,Kozin
残っ,残っ,4,4,Noko
事態,事態,4,5,Zitai
関連,関連,4,6,Kanren
結局,結局,4,8,Kekkyoku
権力,権力,4,8,Kenryoku
業界,業界,4,7,Gyoukai
進ん,進ん,4,5,Susun
導入,導入,4,7,Dounyuu
顧客,顧客,4,7,Kokyaku
集団,集団,4,7,Syuudan
到着,到着,4,8,Toutyaku
一緒,一緒,4,5,Issyo
主張,主張,4,7,Syutyou
物語,物語,4,10,Monogatari
ノース,ノース,4,5,Noosu
販売,販売,4,6,Hanbai
法,法,4,3,Hou
文字,文字,4,4,Mozi
来,来,4,3,Rai
担当,担当,4,6,Tantou
エージェント,エージェント,4,7,Eezento
ワシントン,ワシントン,4,8,Wasinton
広,広,4,3,Kou
インタビュー,インタビュー,4,8,Intabyuu
話,話,4,6,Hanasi
住ん,住ん,4,3,Sun
女の子,女の子,4,8,Onnanoko
生き,生き,4,3,Iki
続ける,続ける,4,8,Tuzukeru
厳しい,厳しい,4,7,Kibisii
たら,たら,4,4,Tara
男,男,4,5,Otoko
注目,注目,4,8,Tyuumoku
少し,少し,4,6,Sukosi
主要,主要,4,6,Syuyou
もちろん,もちろん,4,7,Motiron
声,声,4,3,Koe
経験,経験,4,6,Keiken
合法,合法,4,6,Gouhou
心,心,4,6,Kokoro
移民,移民,4,4,Imin
行う,行う,4,6,Okonau
ライト,ライト,4,5,Raito
強制,強制,4,7,Kyousei
希望,希望,4,5,Kibou
管理,管理,4,5,Kanri
ケシャ,ケシャ,4,5,Kesya
オンタリオ,オンタリオ,4,8,On tario
動産,動産,4,6,Dousan
提案,提案,4,5,Teian
スキル,スキル,4,6,Sukiru
原因,原因,4,6,Gen'in
確信,確信,4,7,Kakusin
立ち,立ち,4,4,Tati
戻る,戻る,4,6,Modoru
ジョン,ジョン,4,4,Zyon
付け,付け,4,4,Zuke
共演,共演,4,6,Kyouen
回復,回復,4,7,Kaihuku
ほぼ,ほぼ,4,4,Hobo
たく,たく,4,4,Taku
関心,関心,4,6,Kansin
いい,いい,4,2,Ii
パターン,パターン,4,6,Pataan
作曲,作曲,4,8,Sakkyoku
簡単,簡単,4,6,Kantan
ビデオ,ビデオ,4,5,Bideo
範囲,範囲,4,5,Han'i
知っ,知っ,4,2,Si
ファラオ,ファラオ,4,5,Harao
町,町,4,4,Mati
それぞれ,それぞれ,4,8,Sorezore
作成,作成,4,7,Sakusei
共同,共同,4,7,Kyoudou
作業,作業,4,6,Sagyou
カナダ,カナダ,4,6,Kanada
北,北,4,4,Kita
おら,おら,4,3,Ora
呼ば,呼ば,4,4,Yoba
我々,我々,4,8,Wareware
オリンピック,オリンピック,4,9,Orinpikku
アケメネス,アケメネス,4,9,Akemenesu
粒子,粒子,4,6,Ryuusi
解放,解放,4,6,Kaihou
位,位,4,5,Kurai
実施,実施,4,5,Zissi
領,領,4,4,Ryou
半島,半島,4,6,Hantou
用,用,4,3,You
タイ,タイ,4,3,Tai
部隊,部隊,4,5,Butai
沿岸,沿岸,4,5,Engan
人気,人気,4,5,Ninki
向かっ,向かっ,4,4,Muka
降伏,降伏,4,7,Kouhuku
高,高,4,3,Kou
諸島,諸島,4,6,Syotou
消費,消費,4,6,Syouhi
オブ,オブ,4,3,Obu
時期,時期,4,4,Ziki
レース,レース,4,5,Reesu
モンゴル,モンゴル,4,7,Mongoru
全体,全体,4,6,Zentai
流れ,流れ,4,6,Nagare
完成,完成,4,6,Kansei
日本,日本,4,6,Nippon
スマート,スマート,4,7,Sumaato
産業,産業,4,7,Sangyou
仕事,仕事,4,6,Sigoto
建築,建築,4,7,Kentiku
主演,主演,4,5,Syuen
進め,進め,4,6,Susume
電子,電子,4,5,Densi
宇宙,宇宙,4,5,Utyuu
通り,通り,4,5,Toori
削減,削減,4,7,Sakugen
生活,生活,4,7,Seikatu
乾燥,乾燥,4,6,Kansou
存在,存在,4,6,Sonzai
紛争,紛争,4,6,Hunsou
カメルーン,カメルーン,4,8,Kameruun
信頼,信頼,4,6,Sinrai
旅行,旅行,4,6,Ryokou
及ぼす,及ぼす,4,7,Oyobosu
付近,付近,4,5,Hukin
電話,電話,4,5,Denwa
将軍,将軍,4,7,Syougun
撤退,撤退,4,6,Tettai
オープン,オープン,4,5,Oopun
ダネヴェルク,ダネヴェルク,4,10,Daneveruku
敗北,敗北,4,7,Haiboku
しばしば,しばしば,4,8,Sibasiba
地帯,地帯,4,5,Titai
東,東,4,6,Higasi
分析,分析,4,7,Bunseki
機会,機会,4,5,Kikai
オーストリア,オーストリア,4,9,Oosutoria
ウィンストン,ウィンストン,4,8,In suton
聖,聖,4,3,Sei
直面,直面,4,8,Tyokumen
生息,生息,4,7,Seisoku
生じ,生じ,4,6,Syouzi
特徴,特徴,4,8,Tokutyou
当社,当社,4,6,Tousya
年号,年号,4,6,Nengou
防衛,防衛,4,5,Bouei
ショー,ショー,4,4,Syoo
展示,展示,4,5,Tenzi
アルプス,アルプス,4,7,Arupusu
キリスト,キリスト,4,8,Kirisuto
言う,言う,4,2,Iu
多い,多い,4,3,Ooi
メール,メール,4,5,Meeru
出身,出身,4,7,Syussin
夏,夏,4,4,Natu
オランダ,オランダ,4,6,Oranda
レコード,レコード,4,7,Rekoodo
残り,残り,4,6,Nokori
確保,確保,4,6,Kakuho
殺人,殺人,4,7,Satuzin
正当,正当,4,6,Seitou
大戦,大戦,4,6,Taisen
手,手,4,2,Te
手紙,手紙,4,6,Tegami
枚,枚,4,3,Mai
ライン,ライン,4,4,Rain
どれ,どれ,4,4,Dore
生まれ,生まれ,4,5,Umare
反乱,反乱,4,6,Hanran
作家,作家,4,5,Sakka
どちら,どちら,4,6,Dotira
なぜ,なぜ,4,4,Naze
支出,支出,4,7,Sisyutu
わけ,わけ,4,4,Wake
学生,学生,4,7,Gakusei
ユダヤ,ユダヤ,4,6,Yudaya
聴衆,聴衆,4,8,Tyousyuu
表,表,4,4,Hyou
巨大,巨大,4,6,Kyodai
山,山,4,4,Yama
うち,うち,4,3,Uti
正確,正確,4,7,Seikaku
ラファティ,ラファティ,4,6,Rahati
価値,価値,4,4,Kati
死ん,死ん,4,3,Sin
初め,初め,4,6,Hazime
準備,準備,4,6,Zyunbi
リチャード,リチャード,4,8,Rityaado
若い,若い,4,5,Wakai
戦闘,戦闘,4,6,Sentou
訪問,訪問,4,6,Houmon
面積,面積,3,7,Menseki
誕生,誕生,3,7,Tanzyou
中央,中央,3,6,Tyuuou
学者,学者,3,7,Gakusya
河川,河川,3,5,Kasen
長官,長官,3,7,Tyoukan
ずっと,ずっと,3,6,Zu tto
汚染,汚染,3,4,Osen
強い,強い,3,5,Tuyoi
探検,探検,3,6,Tanken
残し,残し,3,6,Nokosi
スイス,スイス,3,5,Suisu
アンデス,アンデス,3,6,Andesu
器,器,3,2,Ki
合理,合理,3,5,Gouri
未,未,3,2,Mi
わずか,わずか,3,6,Wazuka
短,短,3,3,Tan
出演,出演,3,7,Syutuen
進軍,進軍,3,6,Singun
デ,デ,3,2,De
キプリング,キプリング,3,9,Kipuringu
港,港,3,6,Minato
カエサル,カエサル,3,7,Kaesaru
カトリック,カトリック,3,9,Katorikku
アヘン,アヘン,3,4,Ahen
戦,戦,3,3,Sen
区,区,3,2,Ku
平行,平行,3,6,Heikou
同様,同様,3,6,Douyou
広がっ,広がっ,3,6,Hiroga
テーマ,テーマ,3,5,Teema
マーガレット,マーガレット,3,10,Maagaretto
健康,健康,3,6,Kenkou
同盟,同盟,3,6,Doumei
文書,文書,3,6,Bunsyo
民,民,3,3,Min
外国,外国,3,7,Gaikoku
語源,語源,3,5,Gogen
注意,注意,3,5,Tyuui
法案,法案,3,6,Hou an
支援,支援,3,4,Sien
特定,特定,3,7,Tokutei
食料,食料,3,9,Syokuryou
日付,日付,3,6,Hizuke
促進,促進,3,7,Sokusin
ヘロデ,ヘロデ,3,6,Herode
訓練,訓練,3,6,Kunren
周り,周り,3,6,Mawari
以降,以降,3,4,Ikou
圏,圏,3,3,Ken
指揮,指揮,3,4,Siki
宣伝,宣伝,3,6,Senden
依存,依存,3,4,Izon
制度,制度,3,5,Seido
改革,改革,3,7,Kaikaku
すぎ,すぎ,3,4,Sugi
構造,構造,3,6,Kouzou
す,す,3,2,Su
区域,区域,3,5,Kuiki
公園,公園,3,5,Kouen
ボグド,ボグド,3,6,Bogudo
多様,多様,3,5,Tayou
ハーン,ハーン,3,4,Haan
無効,無効,3,5,Mukou
ヘンリー,ヘンリー,3,6,Henrii
外,外,3,4,Soto
資料,資料,3,6,Siryou
おそらく,おそらく,3,7,Osoraku
昨年,昨年,3,7,Sakunen
拒否,拒否,3,5,Kyohi
確立,確立,3,8,Kakuritu
以外,以外,3,4,Igai
減少,減少,3,7,Gensyou
党内,党内,3,6,Tounai
農地,農地,3,5,Nouti
パプアニューギニア,パプアニューギニア,3,14,Papuanyuuginia
クリストファー,クリストファー,3,12,Kurisuto haa
公式,公式,3,7,Kousiki
首相,首相,3,7,Syusyou
コロンブス,コロンブス,3,9,Koronbusu
トトメス,トトメス,3,8,Totomesu
気温,気温,3,4,Kion
占領,占領,3,7,Senryou
主,主,3,4,Nusi
上手く,上手く,3,5,Umaku
アルファベット,アルファベット,3,10,Aruhabetto
大使,大使,3,5,Taisi
やり,やり,3,4,Yari
初頭,初頭,3,6,Syotou
誌,誌,3,2,Si
廃墟,廃墟,3,6,Haikyo
