,word,frequency,n_characters
且,且,7,5
程度,程度,7,10
導演,導演,7,2
汽車,汽車,7,14
均,均,7,7
埃及,埃及,7,4
卻,卻,7,9
學校,學校,7,2
帶來,帶來,7,9
知道,知道,7,9
每個,每個,7,8
學生,學生,7,6
完全,完全,7,13
安全,安全,7,12
基礎,基礎,7,2
非,非,7,8
不能,不能,7,5
革命,革命,7,17
名字,名字,7,12
很大,很大,7,12
民族,民族,7,6
那裡,那裡,7,7
北京,北京,6,13
破產,破產,6,2
並且,並且,6,13
鎊,鎊,6,1
賬戶,賬戶,6,5
英,英,6,8
預測,預測,6,2
再次,再次,6,12
結束,結束,6,8
高,高,6,1
接,接,6,1
經常,經常,6,2
部隊,部隊,6,2
試圖,試圖,6,2
件,件,6,6
住,住,6,7
作品,作品,6,16
日本,日本,6,9
組織,組織,6,2
主義,主義,6,6
拒絕,拒絕,6,8
設計,設計,6,10
全,全,6,6
傳統,傳統,6,2
邊境,邊境,6,2
相關,相關,6,10
西班牙語,西班牙語,6,12
選擇,選擇,6,2
警方,警方,6,5
南部,南部,6,10
如此,如此,6,12
報告,報告,6,8
感到,感到,6,9
變,變,6,2
佔據,佔據,6,8
巴黎,巴黎,6,5
加拿大,加拿大,6,9
降低,降低,6,15
變化,變化,6,6
道,道,6,1
沒,沒,6,7
早,早,6,6
份,份,6,6
國王,國王,6,5
建築,建築,6,9
環境,環境,6,2
受,受,6,8
等,等,6,1
的話,的話,6,9
大學,大學,6,4
氣候,氣候,6,2
點,點,6,1
支持,支持,6,13
最近,最近,6,8
貿易,貿易,6,9
十分,十分,6,6
放棄,放棄,6,9
適用,適用,6,6
全國,全國,6,7
或者,或者,6,16
朋友,朋友,6,12
教育,教育,6,9
更多,更多,6,13
參與,參與,6,2
另外,另外,6,10
腫瘤,腫瘤,5,2
女士,女士,5,6
稱呼,稱呼,5,9
工具,工具,5,11
大約,大約,5,12
訓練,訓練,5,2
加勒比海,加勒比海,5,11
出版,出版,5,13
保持,保持,5,18
公眾,公眾,5,5
間,間,5,1
找到,找到,5,15
取得,取得,5,9
減少,減少,5,5
會議,會議,5,3
參加,參加,5,6
意義,意義,5,2
照片,照片,5,5
語言,語言,5,8
河流,河流,5,9
誰,誰,5,1
不得,不得,5,5
地點,地點,5,7
房地產,房地產,5,15
力量,力量,5,3
嗎,嗎,5,1
文化,文化,5,8
描述,描述,5,9
俄羅斯,俄羅斯,5,11
戰役,戰役,5,8
新聞,新聞,5,2
書,書,5,1
健康,健康,5,2
年輕,年輕,5,7
負責,負責,5,10
勝利,勝利,5,8
權利,權利,5,9
當然,當然,5,2
清朝,清朝,5,2
地面,地面,5,15
喜歡,喜歡,5,3
表達,表達,5,9
變得,變得,5,3
墨西哥,墨西哥,5,8
扮演,扮演,5,8
總,總,5,1
修道院,修道院,5,19
元素,元素,5,5
仍,仍,5,4
藝術家,藝術家,5,3
理論,理論,5,2
那麼,那麼,5,7
公園,公園,5,5
服務,服務,5,9
能力,能力,5,3
強調,強調,5,2
部,部,5,1
東西,東西,5,14
雖然,雖然,5,2
表明,表明,5,16
人類,人類,5,3
釙,釙,5,1
羅娜,羅娜,5,10
智能,智能,5,2
非洲,非洲,5,17
沙漠,沙漠,5,8
協會,協會,5,9
多數,多數,5,7
分別,分別,5,11
島嶼,島嶼,5,2
初,初,5,7
每,每,5,7
俄國,俄國,5,10
討論,討論,5,2
女,女,5,3
利用,利用,5,12
受到,受到,5,16
之中,之中,5,7
商業,商業,5,2
一世,一世,5,6
展示,展示,5,6
缺少,缺少,5,5
債券,債券,5,9
費用,費用,5,6
簽訂,簽訂,5,10
聖,聖,5,1
值得,值得,5,2
危機,危機,5,7
大眾,大眾,5,4
演出,演出,5,6
準備,準備,5,2
好,好,5,6
承擔,承擔,5,9
阿爾巴尼亞,阿爾巴尼亞,5,25
先生,先生,5,11
建,建,5,8
家庭,家庭,5,10
觀眾,觀眾,5,3
戲劇,戲劇,5,2
聯盟,聯盟,5,2
板塊,板塊,5,9
北,北,5,5
和平,和平,5,13
過去,過去,5,6
馬克,馬克,5,8
未來,未來,5,13
權力,權力,5,4
文明,文明,5,12
集,集,5,1
證明,證明,5,9
專輯,專輯,5,2
對於,對於,5,9
冠軍,冠軍,5,18
候選人,候選人,5,4
人士,人士,5,5
媒體,媒體,5,3
分析,分析,5,12
完成,完成,5,13
批評,批評,4,8
製作,製作,4,8
尋找,尋找,4,8
補充,補充,4,7
覺得,覺得,4,3
高爾夫,高爾夫,4,6
曾經,曾經,4,2
中期,中期,4,5
更好,更好,4,13
樂隊,樂隊,4,2
委員會,委員會,4,10
承認,承認,4,9
反對,反對,4,5
動物,動物,4,9
八,八,4,2
生,生,4,5
蒙古,蒙古,4,6
少,少,4,4
聯繫,聯繫,4,2
根本,根本,4,6
未能,未能,4,6
去年,去年,4,11
天氣,天氣,4,5
來到,來到,4,16
海洋,海洋,4,10
國民,國民,4,6
保證,保證,4,10
來源,來源,4,9
前往,前往,4,17
九,九,4,2
半島,半島,4,6
月份,月份,4,10
遊行,遊行,4,7
基金,基金,4,9
水,水,4,4
夏天,夏天,4,5
機構,機構,4,2
女人,女人,4,5
小型,小型,4,12
發言人,發言人,4,10
公爵,公爵,4,5
需求,需求,4,8
員工,員工,4,4
到達,到達,4,9
方式,方式,4,10
追溯,追溯,4,10
據,據,4,1
造成,造成,4,7
藝術,藝術,4,2
女兒,女兒,4,11
指控,指控,4,10
上升,上升,4,7
缺乏,缺乏,4,5
棲息地,棲息地,4,8
當地,當地,4,7
農曆,農曆,4,2
安大略省,安大略省,4,19
單曲,單曲,4,7
歐洲人,歐洲人,4,12
移民,移民,4,6
首,首,4,9
首次,首次,4,15
出來,出來,4,13
當天,當天,4,5
以外,以外,4,9
建造,建造,4,9
交通,交通,4,7
僅,僅,4,1
文學,文學,4,5
積極,積極,4,2
時任,時任,4,7
印度,印度,4,14
您,您,4,1
逐漸,逐漸,4,2
產品,產品,4,10
用戶,用戶,4,9
緩解,緩解,4,2
作用,作用,4,12
共和國,共和國,4,15
報導,報導,4,2
投資人,投資人,4,10
壓力,壓力,4,3
允許,允許,4,5
星期,星期,4,10
私人,私人,4,9
相似,相似,4,15
征服,征服,4,16
拉費蒂,拉費蒂,4,10
克林頓,克林頓,4,16
仍然,仍然,4,5
破壞,破壞,4,2
面對,面對,4,10
除,除,4,9
警察,警察,4,2
唐納德,唐納德,4,3
較低,較低,4,8
競爭,競爭,4,10
泰國,泰國,4,2
唱片,唱片,4,5
如何,如何,4,13
奧斯曼,奧斯曼,4,3
記錄,記錄,4,2
企業,企業,4,7
教堂,教堂,4,2
同盟,同盟,4,7
外,外,4,5
儘管,儘管,4,2
內容,內容,4,5
摩拉維亞,摩拉維亞,4,18
標記,標記,4,2
處理,處理,4,2
敵人,敵人,4,3
科學,科學,4,10
封,封,4,9
也許,也許,4,4
舉辦,舉辦,4,2
過程,過程,4,2
米,米,4,6
里,里,4,7
顏色,顏色,4,7
喀麥隆,喀麥隆,4,3
海岸,海岸,4,9
倫敦,倫敦,4,2
從未,從未,4,6
容易,容易,4,9
打,打,4,5
開放,開放,4,9
日期,日期,4,5
此次,此次,4,12
怎麼,怎麼,4,10
軍事,軍事,4,17
地位,地位,4,13
穿過,穿過,4,10
男性,男性,4,15
鴉片,鴉片,4,5
三世,三世,4,8
運河,運河,4,9
土耳其,土耳其,4,17
地球,地球,4,7
廣告,廣告,4,8
比如,比如,4,10
東,東,4,8
太,太,4,4
生命,生命,4,13
即,即,4,7
後者,後者,4,17
僅僅,僅僅,4,2
夏季,夏季,4,9
植物,植物,4,9
警告,警告,4,8
抵抗,抵抗,4,15
電子,電子,4,4
更加,更加,4,12
丹內維爾克,丹內維爾克,4,17
那樣,那樣,4,7
關注,關注,4,9
身體,身體,4,9
想法,想法,4,9
人數,人數,4,3
得到,得到,4,9
步,步,4,7
中心,中心,4,8
項目,項目,4,6
難,難,4,1
對象,對象,4,2
少數,少數,4,5
大概,大概,4,4
最新,最新,4,2
殖民,殖民,4,6
作家,作家,4,8
電視,電視,4,2
上漲,上漲,4,4
贏得,贏得,4,3
機率,機率,4,2
部長,部長,4,9
返回,返回,4,13
消息,消息,4,2
西格爾,西格爾,4,8
者,者,4,8
兒童,兒童,4,9
冬季,冬季,4,13
二,二,3,2
節目,節目,3,6
走,走,3,7
票,票,3,1
長,長,3,8
布里斯班,布里斯班,3,14
領導,領導,3,2
瓦倫蒂諾,瓦倫蒂諾,3,7
邊界,邊界,3,10
運動會,運動會,3,3
本來,本來,3,13
獎金,獎金,3,9
評估,評估,3,8
留下,留下,3,4
部門,部門,3,9
恐怖,恐怖,3,9
工資,工資,3,4
評論,評論,3,2
發表,發表,3,9
條,條,3,1
依然,依然,3,9
官方,官方,3,12
領導人,領導人,3,4
分子,分子,3,7
餘額,餘額,3,2
兄弟,兄弟,3,12
標準,標準,3,2
皇家,皇家,3,10
錢,錢,3,1
也是,也是,3,12
克里斯托弗,克里斯托弗,3,26
快速,快速,3,8
有些,有些,3,14
理解,理解,3,2
優勢,優勢,3,2
鏈接,鏈接,3,2
首先,首先,3,15
領先,領先,3,7
開展,開展,3,2
現,現,3,1
清楚,清楚,3,2
法,法,3,8
了解,了解,3,3
半,半,3,5
近,近,3,7
迪士尼,迪士尼,3,16
確信,確信,3,10
人物,人物,3,10
大幅,大幅,3,4
顆粒,顆粒,3,2
領域,領域,3,2
戰後,戰後,3,10
摩托車,摩托車,3,14
參議院,參議院,3,12
個人,個人,3,3
數量,數量,3,2
特點,特點,3,2
轉變,轉變,3,3
預計,預計,3,10
羅馬人,羅馬人,3,4
指南,指南,3,18
真的,真的,3,9
記者,記者,3,9
解放,解放,3,9
茉莉,茉莉,3,9
靠,靠,3,1
黃金,黃金,3,9
本地,本地,3,11
荷蘭,荷蘭,3,3
十四,十四,3,7
鐵,鐵,3,2
布朗特,布朗特,3,7
市民,市民,3,10
實施,實施,3,10
劇場,劇場,3,2
合同,合同,3,12
說明,說明,3,9
伯爵,伯爵,3,8
對方,對方,3,5
三島,三島,3,4
公開,公開,3,5
雷達,雷達,3,2
父親,父親,3,5
工人,工人,3,5
人才,人才,3,5
土著,土著,3,4
小說,小說,3,4
鐵路,鐵路,3,3
在內,在內,3,10
行,行,3,6
東南部,東南部,3,18
路途,路途,3,2
馬丁,馬丁,3,3
視頻,視頻,3,2
侵略,侵略,3,10
般,般,3,1
確定,確定,3,9
康復,康復,3,2
巨大,巨大,3,7
糟糕,糟糕,3,2
柴油,柴油,3,9
興趣,興趣,3,2
禁止,禁止,3,5
大國,大國,3,4
西部,西部,3,7
反應,反應,3,5
資格,資格,3,2
阻止,阻止,3,11
解決,解決,3,8
財政,財政,3,10
定居,定居,3,16
東部,東部,3,9
角色,角色,3,13
六十,六十,3,6
擊敗,擊敗,3,2
議會,議會,3,3
自治,自治,3,14
引發,引發,3,5
一般,一般,3,2
分類法,分類法,3,13
措施,措施,3,10
席,席,3,1
凱莎,凱莎,3,2
一定,一定,3,9
歐盟,歐盟,3,2
選民,選民,3,6
截,截,3,1
條件,條件,3,7
當作,當作,3,8
溫斯頓,溫斯頓,3,3
奧地利,奧地利,3,14
地表,地表,3,14
乾旱,乾旱,3,8
民主黨,民主黨,3,12
賴特,賴特,3,2
展覽,展覽,3,3
態度,態度,3,10
在位,在位,3,13
業務,業務,3,2
製造,製造,3,2
慶典,慶典,3,9
男人,男人,3,9
競選,競選,3,3
風格,風格,3,10
瑞士,瑞士,3,4
當中,當中,3,5
每升,每升,3,11
支付,支付,3,9
學者,學者,3,9
丹麥,丹麥,3,5
釋放,釋放,3,10
雅典,雅典,3,9
關鍵,關鍵,3,2
對待,對待,3,10
高加索,高加索,3,7
排除,排除,3,10
居里,居里,3,15
阿契美尼德,阿契美尼德,3,31
爆發,爆發,3,2
回歸,回歸,3,7
某,某,3,9
約瑟夫,約瑟夫,3,14
突然,突然,3,10
最好,最好,3,7
農業,農業,3,2
用地,用地,3,11
地標,地標,3,7
約翰,約翰,3,10
大廈,大廈,3,4
城鎮化,城鎮化,3,14
互聯網,互聯網,3,6
巴布亞,巴布亞,3,17
穀物,穀物,3,9
阿爾卑斯,阿爾卑斯,3,17
新幾內亞,新幾內亞,3,14
反,反,3,4
法庭,法庭,3,17
依賴,依賴,3,9
希區柯克,希區柯克,3,24
城邦,城邦,3,15
工業,工業,3,4
帶領,帶領,3,2
學院,學院,3,10
大使,大使,3,11
色雷斯,色雷斯,3,8
同意,同意,3,7
表現,表現,3,9
生涯,生涯,3,6
職業,職業,3,2
成立,成立,3,11
黨派,黨派,3,11
以至,以至,3,10
夢想,夢想,3,2
事情,事情,3,9
大選,大選,3,4
發明,發明,3,9
芬蘭語,芬蘭語,3,10
文字,文字,3,10
瑞典,瑞典,3,9
不要,不要,3,13
主題,主題,3,6
穩定,穩定,3,9
某種,某種,3,10
特徵,特徵,3,2
好幾,好幾,3,7
投降,投降,3,15
將軍,將軍,3,10
帶,帶,3,1
中華,中華,3,5
想像,想像,3,2
震驚,震驚,3,3
研究所,研究所,3,24
績效,績效,3,2
花費,花費,3,8
帶有,帶有,3,7
推進,推進,3,2
二十,二十,3,4
答案,答案,3,2
疑問,疑問,3,2
女孩,女孩,3,12
高中,高中,3,5
遊戲,遊戲,3,2
無論,無論,3,2
今年,今年,3,10
菲利普,菲利普,3,9
激增,激增,3,2
豬,豬,3,1
治療,治療,3,9
實行,實行,3,7
趨勢,趨勢,3,2
博格達汗,博格達汗,3,9
諸如,諸如,3,7
殺死,殺死,3,7
領土,領土,3,4
友誼,友誼,3,5
有助,有助,3,13
立法,立法,3,13
信仰,信仰,3,15
猶太人,猶太人,3,7
努力,努力,3,9
具體,具體,3,10
模糊,模糊,3,2
改革,改革,3,16
面臨,面臨,3,10
支出,支出,3,9
難以置信,難以置信,3,15
政權,政權,3,11
團隊,團隊,3,2
同,同,3,6
會見,會見,3,8
成員,成員,3,7
科技,科技,3,16
總督,總督,3,2
原本,原本,3,6
之外,之外,3,8
華盛頓,華盛頓,3,3
徵收,徵收,3,7
舉行,舉行,3,7
運用,運用,3,6
課程,課程,3,2
給予,給予,3,5
之下,之下,3,6
迫害,迫害,3,9
消費者,消費者,3,10
鬥爭,鬥爭,3,9
發起,發起,3,2
法院,法院,3,17
重新,重新,3,10
命令,命令,3,13
區,區,3,1
戰場,戰場,3,2
明白,明白,3,13
海上,海上,3,4
戰鬥,戰鬥,3,2
小時,小時,3,4
處罰,處罰,3,2
攻擊,攻擊,3,8
網站,網站,3,2
實現,實現,3,2
空氣,空氣,3,9
滿足,滿足,3,8
內戰,內戰,3,5
古巴,古巴,3,9
叛亂,叛亂,3,10
奧斯曼人,奧斯曼人,3,5
近期,近期,3,8
鼓勵,鼓勵,3,2
排放,排放,3,9
不僅,不僅,3,5
派,派,3,9
意見,意見,3,8
種子,種子,3,4
保羅,保羅,3,10
公共,公共,3,10
圖特摩斯,圖特摩斯,3,4
金,金,3,8
天主教,天主教,3,10
贊助,贊助,3,8
產業,產業,3,2
伊斯蘭,伊斯蘭,3,9
公投,公投,3,11
據說,據說,3,2
奧斯卡,奧斯卡,3,7
常見,常見,3,8
嬰兒,嬰兒,3,9
以為,以為,3,13
重大,重大,3,12
無,無,3,1
亨利,亨利,3,14
相信,相信,3,18
助手,助手,3,11
授予,授予,3,5
專家,專家,3,2
首都,首都,3,10
網絡,網絡,3,2
祖母,祖母,3,14
括,括,3,9
沈,沈,3,7
郵件,郵件,3,7
合理,合理,3,7
法老,法老,3,14
希拉里,希拉里,3,22
皈依,皈依,3,17
節日,節日,3,5
大戰,大戰,3,4
採訪,採訪,3,2
寫道,寫道,3,2
女性,女性,3,11
王朝,王朝,3,5
氣體,氣體,3,3
言,言,3,7
奧巴馬,奧巴馬,3,6
轉移,轉移,3,2
周,周,3,8
亞洲,亞洲,3,17
言論,言論,3,8
擔憂,擔憂,3,2
原住民,原住民,3,13
設備,設備,3,2
削減,削減,3,10
巴拿馬,巴拿馬,3,6
轉型,轉型,3,10
頭銜,頭銜,3,2
各種,各種,3,7
皇帝,皇帝,3,18
南海,南海,3,10
亞,亞,3,8
宣傳,宣傳,3,10
合法,合法,3,14
你們,你們,3,8
兄弟們,兄弟們,3,13
直到,直到,3,16
傳播,傳播,2,2
發揮,發揮,2,2
暫停,暫停,2,2
一帶,一帶,2,2
說法,說法,2,9
站,站,2,1
推翻,推翻,2,2
接觸,接觸,2,3
概念,概念,2,9
防衛,防衛,2,7
火車,火車,2,11
話題,話題,2,2
州,州,2,6
阿普利亞,阿普利亞,2,23
伊斯蘭教,伊斯蘭教,2,10
全部,全部,2,7
保留,保留,2,10
見,見,2,7
官員,官員,2,9
國防,國防,2,7
移除,移除,2,10
童工,童工,2,4
飛行員,飛行員,2,16
美國人,美國人,2,12
標誌,標誌,2,2
本週,本週,2,6
平台,平台,2,10
著陸,著陸,2,2
進去,進去,2,6
報紙,報紙,2,2
為期,為期,2,10
成就,成就,2,7
局,局,2,7
資金,資金,2,9
梅,梅,2,1
乃至,乃至,2,8
意圖,意圖,2,2
背後,背後,2,18
議院,議院,2,11
身份,身份,2,13
提高,提高,2,2
勢力,勢力,2,3
主演,主演,2,6
很快,很快,2,16
小鎮,小鎮,2,4
平手,平手,2,9
挪威,挪威,2,18
發送,發送,2,10
必要,必要,2,14
抗議,抗議,2,9
演化,演化,2,5
社交,社交,2,13
單元,單元,2,5
一面,一面,2,10
肥料,肥料,2,9
方,方,2,4
主導,主導,2,6
丹麥語,丹麥語,2,6
方言,方言,2,11
失望,失望,2,6
丟,丟,2,6
分,分,2,4
安迪,安迪,2,14
冰島,冰島,2,7
崔絲,崔絲,2,2
聊天,聊天,2,5
因而,因而,2,12
吉卜林,吉卜林,2,16
那兒,那兒,2,14
擔心,擔心,2,5
赫爾茨,赫爾茨,2,11
人民,人民,2,7
爵位,爵位,2,8
形象,形象,2,8
樣,樣,2,1
拉博夫,拉博夫,2,13
指揮,指揮,2,10
集團,集團,2,2
凱爾特海,凱爾特海,2,4
可靠,可靠,2,6
王,王,2,4
可能性,可能性,2,14
推特,推特,2,2
奧運會,奧運會,2,3
空中,空中,2,12
肺,肺,2,8
效忠,效忠,2,9
拿破崙,拿破崙,2,3
微小,微小,2,4
飛行,飛行,2,15
海報,海報,2,2
博客,博客,2,10
干預,干預,2,4
藉由,藉由,2,6
旅行,旅行,2,7
深遠,深遠,2,2
安石,安石,2,11
寫作,寫作,2,8
鱈魚,鱈魚,2,3
助理,助理,2,8
機會,機會,2,2
不幸,不幸,2,12
獎項,獎項,2,2
坎伯蘭,坎伯蘭,2,16
艾達,艾達,2,6
確實,確實,2,2
卡塔拉諾,卡塔拉諾,2,15
毀滅,毀滅,2,2
巴羅佐,巴羅佐,2,12
假設,假設,2,2
達到,達到,2,9
格拉斯哥,格拉斯哥,2,11
搬回,搬回,2,7
滿意,滿意,2,2
阿爾瓦雷茨,阿爾瓦雷茨,2,22
詞,詞,2,1
進場,進場,2,2
協定,協定,2,16
極度,極度,2,10
找,找,2,7
要么,要么,2,12
尤其,尤其,2,12
喬治,喬治,2,9
收益,收益,2,7
提及,提及,2,4
衣服,衣服,2,14
食物,食物,2,17
正式,正式,2,11
卡森,卡森,2,6
揭露,揭露,2,3
隨時,隨時,2,2
結果,結果,2,9
情侶,情侶,2,10
開,開,2,1
撤退,撤退,2,10
實驗,實驗,2,3
阿特靈,阿特靈,2,10
賺取,賺取,2,9
太空,太空,2,12
緊鄰,緊鄰,2,2
場合,場合,2,7
選項,選項,2,2
丘吉爾,丘吉爾,2,12
死亡,死亡,2,9
存活,存活,2,15
長成,長成,2,14
虔誠,虔誠,2,2
停留,停留,2,2
埃爾多安,埃爾多安,2,14
養分,養分,2,5
來臨,來臨,2,9
礦物,礦物,2,9
材料,材料,2,8
驚訝,驚訝,2,3
即使,即使,2,15
前進,前進,2,10
掌權,掌權,2,3
分隔,分隔,2,5
代,代,2,5
人均,人均,2,9
指,指,2,9
主持人,主持人,2,16
關閉,關閉,2,2
古老,古老,2,11
入讀率,入讀率,2,5
男子,男子,2,10
愚蠢,愚蠢,2,3
使得,使得,2,9
朝鮮,朝鮮,2,2
相對,相對,2,10
撒哈拉,撒哈拉,2,18
極大,極大,2,4
撒海爾區,撒海爾區,2,4
劇,劇,2,1
學,學,2,1
