,word,frequency,n_characters,romanized_form
主要,主要,16,6,zhǔyào
所有,所有,16,6,suǒyǒu
能夠,能夠,16,7,nénggòu
許多,許多,16,5,xǔduō
提供,提供,15,6,tígōng
區域,區域,15,4,qūyù
表示,表示,15,7,biǎoshì
導致,導致,15,6,dǎozhì
或,或,15,3,huò
軍隊,軍隊,15,6,jūnduì
稱,稱,15,5,chēng
現在,現在,15,7,xiànzài
城市,城市,15,8,chéngshì
之前,之前,15,7,zhīqián
使用,使用,14,7,shǐyòng
給,給,14,3,gěi
如,如,14,2,rú
希望,希望,14,6,xīwàng
不同,不同,14,6,bùtóng
一樣,一樣,14,6,yīyàng
由於,由於,14,5,yóuyú
一些,一些,14,5,yīxiē
研究,研究,14,6,yánjiū
期間,期間,14,6,qījiān
人們,人們,14,6,rénmen
非常,非常,14,8,fēicháng
當時,當時,14,7,dāngshí
法國,法國,14,5,fǎguó
德國,德國,14,5,déguó
新,新,14,3,xīn
發現,發現,14,6,fāxiàn
六,六,14,3,liù
不是,不是,14,5,bùshì
歐,歐,14,2,ōu
部分,部分,13,5,bùfēn
比,比,13,2,bǐ
經濟,經濟,13,6,jīngjì
去,去,13,2,qù
第二,第二,13,4,dìèr
你,你,13,2,nǐ
出現,出現,13,7,chūxiàn
調查,調查,13,7,diàochá
特別,特別,13,5,tèbié
重要,重要,13,8,zhòngyào
時間,時間,13,7,shíjiān
歐洲,歐洲,13,6,ōuzhōu
只,只,13,3,zhǐ
發展,發展,13,6,fāzhǎn
問題,問題,12,5,wèntí
根據,根據,12,5,gēnjù
地方,地方,12,9,de dìfāng
處,處,12,3,chù
事件,事件,12,7,shìjiàn
約,約,12,3,yuē
四,四,12,2,sì
只有,只有,12,6,zhǐyǒu
方法,方法,12,6,fāngfǎ
政治,政治,12,8,zhèngzhì
希臘,希臘,12,4,xīlà
它們,它們,12,5,tāmen
超過,超過,12,7,chāoguò
十,十,12,3,shí
情況,情況,12,9,qíngkuàng
獨立,獨立,12,4,dúlì
項,項,12,5,xiàng
得,得,12,2,dé
技術,技術,12,5,jìshù
人口,人口,11,6,rénkǒu
看到,看到,11,6,kàndào
則,則,11,2,zé
另,另,11,4,lìng
未,未,11,3,wèi
數據,數據,11,5,shùjù
要求,要求,11,6,yàoqiú
必須,必須,11,4,bìxū
關於,關於,11,6,guānyú
什麼,什麼,11,6,shénme
一起,一起,11,4,yīqǐ
事,事,11,3,shì
宣布,宣布,11,6,xuānbù
曾,曾,11,4,céng
天,天,11,4,tiān
座,座,11,3,zuò
裡,裡,11,2,lǐ
看,看,11,3,kàn
做,做,11,3,zuò
代表,代表,11,7,dàibiǎo
家,家,10,3,jiā
歲,歲,10,3,suì
想,想,10,5,xiǎng
系列,系列,10,5,xìliè
計劃,計劃,10,5,jìhuà
而且,而且,10,5,érqiě
像,像,10,5,xiàng
提出,提出,10,5,tíchū
特朗普,特朗普,10,8,tèlǎngpǔ
投資,投資,10,5,tóuzī
隨後,隨後,10,6,suíhòu
南,南,10,3,nán
市場,市場,10,8,shìchǎng
條約,條約,10,7,tiáoyuē
擁有,擁有,10,7,yōngyǒu
全球,全球,10,7,quánqiú
形成,形成,10,9,xíngchéng
生活,生活,10,8,shēnghuó
水平,水平,10,8,shuǐpíng
進入,進入,10,5,jìnrù
所以,所以,10,5,suǒyǐ
幫助,幫助,10,7,bāngzhù
發布,發布,10,4,fābù
存在,存在,10,6,cúnzài
起,起,10,2,qǐ
活動,活動,10,7,huódòng
最高,最高,10,6,zuìgāo
才,才,10,3,cái
投票,投票,9,7,tóupiào
管理,管理,9,6,guǎnlǐ
週,週,9,4,zhōu
關係,關係,9,6,guānxì
故事,故事,9,5,gùshì
下來,下來,9,6,xiàlái
就是,就是,9,6,jiùshì
美,美,9,3,měi
大,大,9,2,dà
說道,說道,9,7,shuōdào
屬,屬,9,3,shǔ
選舉,選舉,9,6,xuǎnjǔ
信息,信息,9,5,xìnxī
還是,還是,9,6,háishì
天皇,天皇,9,9,tiānhuáng
任何,任何,9,5,rènhé
保護,保護,9,5,bǎohù
國際,國際,9,5,guójì
幾乎,幾乎,9,4,jǐhū
比賽,比賽,9,5,bǐsài
出,出,9,3,chū
行動,行動,9,8,xíngdòng
社會,社會,9,6,shèhuì
顯示,顯示,9,7,xiǎnshì
為了,為了,9,5,wèile
都是,都是,9,9,dōu dūshì
羅馬,羅馬,9,5,luómǎ
北部,北部,9,5,běibù
原因,原因,9,7,yuányīn
協議,協議,9,5,xiéyì
帝國,帝國,9,5,dìguó
地中海,地中海,9,13,de dìzhōnghǎi
明顯,明顯,9,8,míngxiǎn
目前,目前,9,6,mùqián
七,七,9,2,qī
例如,例如,9,4,lìrú
至少,至少,9,7,zhìshǎo
通常,通常,9,9,tōngcháng
合作,合作,9,5,hézuò
擔任,擔任,8,6,dānrèn
有關,有關,8,7,yǒuguān
自由,自由,8,5,zìyóu
澳大利亞,澳大利亞,8,8,àodàlìyà
寫,寫,8,3,xiě
以前,以前,8,6,yǐqián
價格,價格,8,5,jiàgé
幾,幾,8,2,jǐ
實際,實際,8,5,shíjì
持續,持續,8,5,chíxù
大陸,大陸,8,4,dàlù
美洲,美洲,8,7,měizhōu
行為,行為,8,7,xíngwèi
五,五,8,2,wǔ
是否,是否,8,6,shìfǒu
具有,具有,8,5,jùyǒu
統治,統治,8,7,tǒngzhì
時代,時代,8,6,shídài
意大利,意大利,8,6,yìdàlì
資源,資源,8,6,zīyuán
聯邦,聯邦,8,8,liánbāng
解釋,解釋,8,6,jiěshì
那些,那些,8,5,nàxiē
目標,目標,8,6,mùbiāo
最大,最大,8,5,zuìdà
組成,組成,8,7,zǔchéng
增長,增長,8,9,zēngzhǎng
再,再,8,3,zài
這樣,這樣,8,7,zhèyàng
妻子,妻子,8,4,qīzi
甚至,甚至,8,7,shénzhì
無法,無法,8,4,wúfǎ
自然,自然,8,5,zìrán
時候,時候,8,6,shíhòu
大量,大量,8,7,dàliàng
繼續,繼續,8,4,jìxù
最終,最終,8,8,zuìzhōng
整個,整個,8,7,zhěnggè
銀行,銀行,8,7,yínxíng
飛機,飛機,8,5,fēijī
學習,學習,8,5,xuéxí
直接,直接,8,6,zhíjiē
挑戰,挑戰,8,8,tiāozhàn
應該,應該,8,7,yīnggāi
共同,共同,8,8,gòngtóng
土地,土地,8,7,tǔde dì
平均,平均,8,7,píngjūn
這裡,這裡,8,5,zhèlǐ
隨,隨,8,3,suí
數,數,8,3,shù
又,又,8,3,yòu
越來越,越來越,8,9,yuèláiyuè
離開,離開,8,5,líkāi
告訴,告訴,8,5,gàosù
控制,控制,8,7,kòngzhì
大部分,大部分,8,7,dàbùfēn
改變,改變,8,7,gǎibiàn
人員,人員,7,7,rényuán
歌曲,歌曲,7,4,gēqū
第三,第三,7,5,dìsān
出演,出演,7,6,chūyǎn
不會,不會,7,5,bùhuì
出生,出生,7,8,chūshēng
創作,創作,7,9,chuàngzuò
現代,現代,7,7,xiàndài
手機,手機,7,6,shǒujī
附近,附近,7,5,fùjìn
產生,產生,7,9,chǎnshēng
香港,香港,7,9,xiānggǎng
同樣,同樣,7,8,tóngyàng
山脈,山脈,7,7,shānmài
法律,法律,7,4,fǎlǜ
孩子,孩子,7,5,háizi
航空,航空,7,8,hángkōng
跟,跟,7,3,gēn
宗教,宗教,7,8,zōngjiào
西班牙,西班牙,7,7,xībānyá
馬其頓,馬其頓,7,7,mǎqídùn
場,場,7,5,chǎng
以來,以來,7,5,yǐlái
增加,增加,7,7,zēngjiā
共和黨,共和黨,7,10,gònghédǎng
死,死,7,2,sǐ
起來,起來,7,5,qǐlái
時期,時期,7,5,shíqī
應用,應用,7,8,yīngyòng
回到,回到,7,6,huídào
不斷,不斷,7,6,bùduàn
張,張,7,5,zhāng
音樂,音樂,7,5,yīnlè
責任,責任,7,5,zérèn
衝突,衝突,7,7,chōngtū
進,進,7,3,jìn
本,本,7,3,běn
建議,建議,7,6,jiànyì
似乎,似乎,7,5,shìhū
且,且,7,3,qiě
程度,程度,7,7,chéngdù
導演,導演,7,6,dǎoyǎn
汽車,汽車,7,5,qìchē
均,均,7,3,jūn
埃及,埃及,7,4,āijí
卻,卻,7,3,què
學校,學校,7,7,xuéxiào
帶來,帶來,7,6,dàilái
知道,知道,7,6,zhīdào
每個,每個,7,5,měigè
學生,學生,7,8,xuéshēng
完全,完全,7,7,wánquán
安全,安全,7,6,ānquán
基礎,基礎,7,5,jīchǔ
非,非,7,3,fēi
不能,不能,7,6,bùnéng
革命,革命,7,6,gémìng
名字,名字,7,6,míngzì
很大,很大,7,5,hěndà
民族,民族,7,5,mínzú
那裡,那裡,7,4,nàlǐ
北京,北京,6,7,běijīng
破產,破產,6,6,pòchǎn
並且,並且,6,7,bìngqiě
鎊,鎊,6,4,bàng
賬戶,賬戶,6,7,zhànghù
英,英,6,4,yīng
預測,預測,6,4,yùcè
再次,再次,6,5,zàicì
結束,結束,6,6,jiéshù
高,高,6,3,gāo
接,接,6,3,jiē
經常,經常,6,9,jīngcháng
部隊,部隊,6,5,bùduì
試圖,試圖,6,5,shìtú
件,件,6,4,jiàn
住,住,6,3,zhù
作品,作品,6,6,zuòpǐn
日本,日本,6,5,rìběn
組織,組織,6,5,zǔzhī
主義,主義,6,5,zhǔyì
拒絕,拒絕,6,5,jùjué
設計,設計,6,5,shèjì
全,全,6,4,quán
傳統,傳統,6,9,chuántǒng
邊境,邊境,6,8,biānjìng
相關,相關,6,9,xiāngguān
西班牙語,西班牙語,6,9,xībānyáyǔ
選擇,選擇,6,6,xuǎnzé
警方,警方,6,8,jǐngfāng
南部,南部,6,5,nánbù
如此,如此,6,4,rúcǐ
報告,報告,6,6,bàogào
感到,感到,6,6,gǎndào
變,變,6,4,biàn
佔據,佔據,6,6,zhànjù
巴黎,巴黎,6,4,bālí
加拿大,加拿大,6,7,jiānádà
降低,降低,6,7,jiàngdī
變化,變化,6,7,biànhuà
道,道,6,3,dào
沒,沒,6,3,méi
早,早,6,3,zǎo
份,份,6,3,fèn
國王,國王,6,7,guówáng
建築,建築,6,7,jiànzhú
環境,環境,6,8,huánjìng
受,受,6,4,shòu
等,等,6,4,děng
的話,的話,6,5,dehuà
大學,大學,6,5,dàxué
氣候,氣候,6,5,qìhòu
點,點,6,4,diǎn
支持,支持,6,6,zhīchí
最近,最近,6,6,zuìjìn
貿易,貿易,6,5,màoyì
十分,十分,6,6,shífēn
放棄,放棄,6,6,fàngqì
適用,適用,6,7,shìyòng
全國,全國,6,7,quánguó
或者,或者,6,6,huòzhě
朋友,朋友,6,7,péngyǒu
教育,教育,6,6,jiàoyù
更多,更多,6,7,gèngduō
參與,參與,6,5,cānyǔ
另外,另外,6,7,lìngwài
腫瘤,腫瘤,5,8,zhǒngliú
女士,女士,5,5,nǚshì
稱呼,稱呼,5,7,chēnghū
工具,工具,5,6,gōngjù
大約,大約,5,5,dàyuē
訓練,訓練,5,7,xùnliàn
加勒比海,加勒比海,5,11,jiālēibǐhǎi
出版,出版,5,6,chūbǎn
保持,保持,5,6,bǎochí
公眾,公眾,5,9,gōngzhòng
間,間,5,4,jiān
找到,找到,5,7,zhǎodào
取得,取得,5,4,qǔdé
減少,減少,5,8,jiǎnshǎo
會議,會議,5,5,huìyì
參加,參加,5,6,cānjiā
意義,意義,5,4,yìyì
照片,照片,5,8,zhàopiàn
語言,語言,5,5,yǔyán
河流,河流,5,5,héliú
誰,誰,5,9,shuí shéi
不得,不得,5,4,bùdé
地點,地點,5,9,de dìdiǎn
房地產,房地產,5,13,fángde dìchǎn
力量,力量,5,7,lìliàng
嗎,嗎,5,2,ma
文化,文化,5,6,wénhuà
描述,描述,5,7,miáoshù
俄羅斯,俄羅斯,5,6,éluósī
戰役,戰役,5,6,zhànyì
新聞,新聞,5,6,xīnwén
書,書,5,3,shū
健康,健康,5,8,jiànkāng
年輕,年輕,5,8,niánqīng
負責,負責,5,4,fùzé
勝利,勝利,5,7,shènglì
權利,權利,5,6,quánlì
當然,當然,5,7,dāngrán
清朝,清朝,5,8,qīngcháo
地面,地面,5,9,de dìmiàn
喜歡,喜歡,5,6,xǐhuān
表達,表達,5,6,biǎodá
變得,變得,5,6,biàndé
墨西哥,墨西哥,5,6,mòxīgē
扮演,扮演,5,6,bànyǎn
總,總,5,4,zǒng
修道院,修道院,5,10,xiūdàoyuàn
元素,元素,5,6,yuánsù
仍,仍,5,4,réng
藝術家,藝術家,5,8,yìshùjiā
理論,理論,5,5,lǐlùn
那麼,那麼,5,4,nàme
公園,公園,5,8,gōngyuán
服務,服務,5,4,fúwù
能力,能力,5,6,nénglì
強調,強調,5,9,qiángdiào
部,部,5,2,bù
東西,東西,5,6,dōngxī
雖然,雖然,5,6,suīrán
表明,表明,5,8,biǎomíng
人類,人類,5,6,rénlèi
釙,釙,5,2,pò
羅娜,羅娜,5,5,luónà
智能,智能,5,7,zhìnéng
非洲,非洲,5,7,fēizhōu
沙漠,沙漠,5,5,shāmò
協會,協會,5,6,xiéhuì
多數,多數,5,6,duōshù
分別,分別,5,6,fēnbié
島嶼,島嶼,5,5,dǎoyǔ
初,初,5,3,chū
每,每,5,3,měi
俄國,俄國,5,4,éguó
討論,討論,5,6,tǎolùn
女,女,5,2,nǚ
利用,利用,5,6,lìyòng
受到,受到,5,7,shòudào
之中,之中,5,8,zhīzhōng
商業,商業,5,7,shāngyè
一世,一世,5,5,yīshì
展示,展示,5,7,zhǎnshì
缺少,缺少,5,7,quēshǎo
債券,債券,5,8,zhàiquàn
費用,費用,5,7,fèiyòng
簽訂,簽訂,5,8,qiāndìng
聖,聖,5,5,shèng
值得,值得,5,5,zhídé
危機,危機,5,5,wēijī
大眾,大眾,5,7,dàzhòng
演出,演出,5,6,yǎnchū
準備,準備,5,7,zhǔnbèi
好,好,5,3,hǎo
承擔,承擔,5,8,chéngdān
阿爾巴尼亞,阿爾巴尼亞,5,9,āěrbāníyà
先生,先生,5,9,xiānshēng
建,建,5,4,jiàn
家庭,家庭,5,7,jiātíng
觀眾,觀眾,5,9,guānzhòng
戲劇,戲劇,5,4,xìjù
聯盟,聯盟,5,8,liánméng
板塊,板塊,5,7,bǎnkuài
北,北,5,3,běi
和平,和平,5,6,hépíng
過去,過去,5,5,guòqù
馬克,馬克,5,4,mǎkè
未來,未來,5,6,wèilái
權力,權力,5,6,quánlì
文明,文明,5,7,wénmíng
集,集,5,2,jí
證明,證明,5,9,zhèngmíng
專輯,專輯,5,7,zhuānjí
對於,對於,5,5,duìyú
冠軍,冠軍,5,7,guānjūn
候選人,候選人,5,10,hòuxuǎnrén
人士,人士,5,6,rénshì
媒體,媒體,5,5,méitǐ
分析,分析,5,5,fēnxī
完成,完成,5,8,wánchéng
批評,批評,4,6,pīpíng
製作,製作,4,6,zhìzuò
尋找,尋找,4,7,xúnzhǎo
補充,補充,4,7,bǔchōng
覺得,覺得,4,5,juédé
高爾夫,高爾夫,4,7,gāoěrfū
曾經,曾經,4,8,céngjīng
中期,中期,4,7,zhōngqī
更好,更好,4,7,gènghǎo
樂隊,樂隊,4,5,lèduì
委員會,委員會,4,10,wěiyuánhuì
承認,承認,4,8,chéngrèn
反對,反對,4,6,fǎnduì
動物,動物,4,6,dòngwù
八,八,4,2,bā
生,生,4,5,shēng
蒙古,蒙古,4,6,ménggǔ
少,少,4,4,shǎo
聯繫,聯繫,4,6,liánxì
根本,根本,4,6,gēnběn
未能,未能,4,7,wèinéng
去年,去年,4,6,qùnián
天氣,天氣,4,6,tiānqì
來到,來到,4,6,láidào
海洋,海洋,4,7,hǎiyáng
國民,國民,4,6,guómín
保證,保證,4,8,bǎozhèng
來源,來源,4,7,láiyuán
前往,前往,4,8,qiánwǎng
九,九,4,3,jiǔ
半島,半島,4,6,bàndǎo
月份,月份,4,6,yuèfèn
遊行,遊行,4,7,yóuxíng
基金,基金,4,5,jījīn
水,水,4,4,shuǐ
夏天,夏天,4,7,xiàtiān
機構,機構,4,5,jīgòu
女人,女人,4,5,nǚrén
小型,小型,4,8,xiǎoxíng
發言人,發言人,4,8,fāyánrén
公爵,公爵,4,7,gōngjué
需求,需求,4,5,xūqiú
員工,員工,4,8,yuángōng
到達,到達,4,5,dàodá
方式,方式,4,7,fāngshì
追溯,追溯,4,6,zhuīsù
據,據,4,2,jù
造成,造成,4,8,zàochéng
藝術,藝術,4,5,yìshù
女兒,女兒,4,4,nǚér
指控,指控,4,7,zhǐkòng
上升,上升,4,10,shàngshēng
缺乏,缺乏,4,5,quēfá
棲息地,棲息地,4,9,qīxīde dì
當地,當地,4,9,dāngde dì
農曆,農曆,4,6,nónglì
安大略省,安大略省,4,12,āndàlüèshěng
單曲,單曲,4,5,dānqū
歐洲人,歐洲人,4,9,ōuzhōurén
移民,移民,4,5,yímín
首,首,4,4,shǒu
首次,首次,4,6,shǒucì
出來,出來,4,6,chūlái
當天,當天,4,8,dāngtiān
以外,以外,4,5,yǐwài
建造,建造,4,7,jiànzào
交通,交通,4,8,jiāotōng
僅,僅,4,3,jǐn
文學,文學,4,6,wénxué
積極,積極,4,4,jījí
時任,時任,4,6,shírèn
印度,印度,4,5,yìndù
您,您,4,3,nín
逐漸,逐漸,4,7,zhújiàn
產品,產品,4,7,chǎnpǐn
用戶,用戶,4,6,yònghù
緩解,緩解,4,7,huǎnjiě
作用,作用,4,7,zuòyòng
共和國,共和國,4,9,gònghéguó
報導,報導,4,6,bàodǎo
投資人,投資人,4,8,tóuzīrén
壓力,壓力,4,4,yālì
允許,允許,4,5,yǔnxǔ
星期,星期,4,6,xīngqī
私人,私人,4,5,sīrén
相似,相似,4,8,xiāngshì
征服,征服,4,7,zhēngfú
拉費蒂,拉費蒂,4,7,lāfèidì
克林頓,克林頓,4,8,kèlíndùn
仍然,仍然,4,7,réngrán
破壞,破壞,4,6,pòhuài
面對,面對,4,7,miànduì
除,除,4,3,chú
警察,警察,4,7,jǐngchá
唐納德,唐納德,4,8,tángnàdé
較低,較低,4,6,jiàodī
競爭,競爭,4,9,jìngzhēng
泰國,泰國,4,6,tàiguó
唱片,唱片,4,9,chàngpiàn
如何,如何,4,4,rúhé
奧斯曼,奧斯曼,4,7,àosīmàn
記錄,記錄,4,4,jìlù
企業,企業,4,4,qǐyè
教堂,教堂,4,8,jiàotáng
同盟,同盟,4,8,tóngméng
外,外,4,3,wài
儘管,儘管,4,7,jǐnguǎn
內容,內容,4,7,nèiróng
摩拉維亞,摩拉維亞,4,9,mólāwéiyà
標記,標記,4,6,biāojì
處理,處理,4,5,chùlǐ
敵人,敵人,4,5,dírén
科學,科學,4,5,kēxué
封,封,4,4,fēng
也許,也許,4,4,yěxǔ
舉辦,舉辦,4,5,jǔbàn
過程,過程,4,8,guòchéng
米,米,4,2,mǐ
里,里,4,2,lǐ
顏色,顏色,4,5,yánsè
喀麥隆,喀麥隆,4,9,kāmàilóng
海岸,海岸,4,5,hǎiàn
倫敦,倫敦,4,6,lúndūn
從未,從未,4,7,cóngwèi
容易,容易,4,6,róngyì
打,打,4,2,dǎ
開放,開放,4,7,kāifàng
日期,日期,4,4,rìqī
此次,此次,4,4,cǐcì
怎麼,怎麼,4,5,zěnme
軍事,軍事,4,6,jūnshì
地位,地位,4,8,de dìwèi
穿過,穿過,4,8,chuānguò
男性,男性,4,7,nánxìng
鴉片,鴉片,4,6,yāpiàn
三世,三世,4,6,sānshì
運河,運河,4,5,yùnhé
土耳其,土耳其,4,6,tǔěrqí
地球,地球,4,8,de dìqiú
廣告,廣告,4,8,guǎnggào
比如,比如,4,4,bǐrú
東,東,4,4,dōng
太,太,4,3,tài
生命,生命,4,9,shēngmìng
即,即,4,2,jí
後者,後者,4,6,hòuzhě
僅僅,僅僅,4,6,jǐnjǐn
夏季,夏季,4,5,xiàjì
植物,植物,4,5,zhíwù
警告,警告,4,7,jǐnggào
抵抗,抵抗,4,6,dǐkàng
電子,電子,4,6,diànzi
更加,更加,4,7,gèngjiā
丹內維爾克,丹內維爾克,4,13,dānnèiwéiěrkè
那樣,那樣,4,6,nàyàng
關注,關注,4,7,guānzhù
身體,身體,4,6,shēntǐ
想法,想法,4,7,xiǎngfǎ
人數,人數,4,6,rénshù
得到,得到,4,5,dédào
步,步,4,2,bù
中心,中心,4,8,zhōngxīn
項目,項目,4,7,xiàngmù
難,難,4,3,nán
對象,對象,4,8,duìxiàng
少數,少數,4,7,shǎoshù
大概,大概,4,5,dàgài
最新,最新,4,6,zuìxīn
殖民,殖民,4,6,zhímín
作家,作家,4,6,zuòjiā
電視,電視,4,7,diànshì
上漲,上漲,4,10,shàngzhǎng
贏得,贏得,4,6,yíngdé
機率,機率,4,4,jīlǜ
部長,部長,4,7,bùzhǎng
返回,返回,4,6,fǎnhuí
消息,消息,4,6,xiāoxī
西格爾,西格爾,4,6,xīgéěr
者,者,4,3,zhě
兒童,兒童,4,6,értóng
冬季,冬季,4,6,dōngjì
二,二,3,2,èr
節目,節目,3,5,jiémù
走,走,3,3,zǒu
票,票,3,4,piào
長,長,3,5,zhǎng
布里斯班,布里斯班,3,9,bùlǐsībān
領導,領導,3,7,lǐngdǎo
瓦倫蒂諾,瓦倫蒂諾,3,10,wǎlúndìnuò
邊界,邊界,3,7,biānjiè
運動會,運動會,3,10,yùndònghuì
本來,本來,3,6,běnlái
獎金,獎金,3,8,jiǎngjīn
評估,評估,3,6,pínggū
留下,留下,3,6,liúxià
部門,部門,3,5,bùmén
恐怖,恐怖,3,6,kǒngbù
工資,工資,3,6,gōngzī
評論,評論,3,7,pínglùn
發表,發表,3,6,fābiǎo
條,條,3,4,tiáo
依然,依然,3,5,yīrán
官方,官方,3,8,guānfāng
領導人,領導人,3,10,lǐngdǎorén
分子,分子,3,5,fēnzi
餘額,餘額,3,3,yúé
兄弟,兄弟,3,7,xiōngdì
標準,標準,3,8,biāozhǔn
皇家,皇家,3,8,huángjiā
錢,錢,3,4,qián
也是,也是,3,5,yěshì
克里斯托弗,克里斯托弗,3,11,kèlǐsītuōfú
快速,快速,3,6,kuàisù
有些,有些,3,6,yǒuxiē
理解,理解,3,5,lǐjiě
優勢,優勢,3,6,yōushì
鏈接,鏈接,3,7,liànjiē
首先,首先,3,8,shǒuxiān
領先,領先,3,8,lǐngxiān
開展,開展,3,7,kāizhǎn
現,現,3,4,xiàn
清楚,清楚,3,7,qīngchǔ
法,法,3,2,fǎ
了解,了解,3,5,lejiě
半,半,3,3,bàn
近,近,3,3,jìn
迪士尼,迪士尼,3,7,díshìní
確信,確信,3,6,quèxìn
人物,人物,3,5,rénwù
大幅,大幅,3,4,dàfú
顆粒,顆粒,3,4,kēlì
領域,領域,3,6,lǐngyù
戰後,戰後,3,7,zhànhòu
摩托車,摩托車,3,8,mótuōchē
參議院,參議院,3,9,cānyìyuàn
個人,個人,3,5,gèrén
數量,數量,3,8,shùliàng
特點,特點,3,6,tèdiǎn
轉變,轉變,3,9,zhuǎnbiàn
預計,預計,3,4,yùjì
羅馬人,羅馬人,3,8,luómǎrén
指南,指南,3,6,zhǐnán
真的,真的,3,6,zhēnde
記者,記者,3,5,jìzhě
解放,解放,3,7,jiěfàng
茉莉,茉莉,3,4,mòlì
靠,靠,3,3,kào
黃金,黃金,3,8,huángjīn
本地,本地,3,8,běnde dì
荷蘭,荷蘭,3,5,hélán
十四,十四,3,5,shísì
鐵,鐵,3,3,tiě
布朗特,布朗特,3,8,bùlǎngtè
市民,市民,3,6,shìmín
實施,實施,3,6,shíshī
劇場,劇場,3,7,jùchǎng
合同,合同,3,6,hétóng
說明,說明,3,8,shuōmíng
伯爵,伯爵,3,5,bójué
對方,對方,3,7,duìfāng
三島,三島,3,6,sāndǎo
公開,公開,3,7,gōngkāi
雷達,雷達,3,5,léidá
父親,父親,3,5,fùqīn
工人,工人,3,7,gōngrén
人才,人才,3,6,réncái
土著,土著,3,5,tǔzhe
小說,小說,3,8,xiǎoshuō
鐵路,鐵路,3,5,tiělù
在內,在內,3,6,zàinèi
行,行,3,4,xíng
東南部,東南部,3,9,dōngnánbù
路途,路途,3,4,lùtú
馬丁,馬丁,3,6,mǎdīng
視頻,視頻,3,6,shìpín
